week_start,cases,deaths,recovered,active_now,active_delta,total_cases,total_deaths,recovered_total,ws_covid,ws_share_covid,ws_боль_в_горле,ws_share_боль_в_горле,ws_ковид,ws_share_ковид,ws_коронавирус,ws_share_коронавирус,ws_кт_легких,ws_share_кт_легких,ws_ломота,ws_share_ломота,ws_нет_запахов,ws_share_нет_запахов,ws_одышка,ws_share_одышка,ws_пневмония,ws_share_пневмония,ws_положительный_тест_ковид,ws_share_положительный_тест_ковид,ws_потеря_вкуса,ws_share_потеря_вкуса,ws_пропало_обоняние,ws_share_пропало_обоняние,ws_пцр_тест,ws_share_пцр_тест,ws_сатурация,ws_share_сатурация,ws_симптомы_ковида,ws_share_симптомы_ковида,ws_сухой_кашель,ws_share_сухой_кашель,ws_температура_38,ws_share_температура_38,ws_температура_39,ws_share_температура_39,ws_тест_на_ковид,ws_share_тест_на_ковид,ws_чем_лечить_ковид,ws_share_чем_лечить_ковид,ws_экспресс_тест_ковид,ws_share_экспресс_тест_ковид,temp_mean,temp_min,temp_max,humidity_mean,pressure_mean,wind_speed_mean,precip_sum,weekend_days,holiday_days,short_work_days,school_break_days,is_holiday_week,is_school_break_week,is_school_start_week,is_new_year_period,is_may_holiday_period,restriction_level,mask_mandate,remote_work,year,month,quarter,weekofyear
2020-03-23,311.0,3.0,10.0,980.0,298.0,1014.0,6.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.243,-5.4,17.2,42.268,757.382,1.071,0.0,2.0,0,0,0,0,0,0,0,0,0,0,0,2020,3,1,13
2020-03-30,2879.0,23.0,170.0,3666.0,2686.0,3893.0,29.0,198.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.734,-7.2,10.2,65.232,743.271,1.75,15.6,2.0,0,0,0,0,0,0,0,0,3,0,1,2020,3,1,14
2020-04-06,6265.0,43.0,489.0,9399.0,5733.0,10158.0,72.0,687.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.802,-5.4,15.7,55.875,750.593,1.304,2.4,2.0,0,0,0,0,0,0,0,0,3,0,1,2020,4,2,15
2020-04-13,14166.0,104.0,1076.0,22385.0,12986.0,24324.0,176.0,1763.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.645,0.1,15.7,69.464,737.648,1.107,34.9,2.0,0,0,0,0,0,0,0,0,3,0,1,2020,4,2,16
2020-04-20,18156.0,228.0,1412.0,38901.0,16516.0,42480.0,404.0,3175.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.145,-1.1,10.4,57.161,742.298,1.821,10.0,2.0,0,0,0,0,0,0,0,0,3,0,1,2020,4,2,17
2020-04-27,26126.0,325.0,3854.0,60848.0,21947.0,68606.0,729.0,7029.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.912,-0.6,24.4,50.679,743.127,1.339,8.6,2.0,0,0,0,0,0,0,0,1,3,0,1,2020,4,2,18
2020-05-04,41134.0,339.0,6761.0,94882.0,34034.0,109740.0,1068.0,13790.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.102,8.2,21.1,72.821,742.137,1.232,49.5,2.0,0,0,0,0,0,0,0,1,3,0,1,2020,5,2,19
2020-05-11,33084.0,435.0,13700.0,113831.0,18949.0,142824.0,1503.0,27490.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.745,2.9,24.6,52.179,741.443,1.196,11.8,2.0,0,0,0,0,0,0,0,0,3,0,1,2020,5,2,20
2020-05-18,21089.0,490.0,22350.0,112080.0,-1751.0,163913.0,1993.0,49840.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.036,2.0,14.6,78.232,744.42,1.071,62.8,2.0,0,0,0,0,0,0,0,0,3,0,1,2020,5,2,21
2020-05-25,16878.0,484.0,30339.0,98135.0,-13945.0,180791.0,2477.0,80179.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.938,6.9,22.7,75.161,750.73,1.0,191.2,2.0,0,0,0,0,0,0,0,0,3,0,1,2020,5,2,22
