date,cases_day,deaths_day,recovered_day,active_now,active_delta,total_cases,total_deaths,recovered_total,period_days
2020-03-27,,,,682,,703,3,18,
2020-03-28,114.0,1.0,0.0,795,113.0,817,4,18,1.0
2020-03-29,197.0,2.0,10.0,980,185.0,1014,6,28,1.0
2020-03-30,212.0,0.0,0.0,1192,212.0,1226,6,28,1.0
2020-03-31,387.0,5.0,42.0,1532,340.0,1613,11,70,1.0
2020-04-01,267.0,5.0,45.0,1749,217.0,1880,16,115,1.0
2020-04-02,595.0,3.0,25.0,2316,567.0,2475,19,140,1.0
2020-04-03,448.0,1.0,28.0,2735,419.0,2923,20,168,1.0
2020-04-04,434.0,7.0,26.0,3136,401.0,3357,27,194,1.0
2020-04-05,536.0,2.0,4.0,3666,530.0,3893,29,198,1.0
2020-04-06,591.0,0.0,8.0,4249,583.0,4484,29,206,1.0
2020-04-07,697.0,2.0,16.0,4928,679.0,5181,31,222,1.0
2020-04-08,660.0,0.0,48.0,5540,612.0,5841,31,270,1.0
2020-04-09,857.0,7.0,43.0,6347,807.0,6698,38,313,1.0
2020-04-10,1124.0,12.0,37.0,7422,1075.0,7822,50,350,1.0
2020-04-11,1030.0,8.0,149.0,8295,873.0,8852,58,499,1.0
2020-04-12,1306.0,14.0,188.0,9399,1104.0,10158,72,687,1.0
2020-04-13,1355.0,10.0,150.0,10594,1195.0,11513,82,837,1.0
2020-04-14,1489.0,13.0,179.0,11891,1297.0,13002,95,1016,1.0
2020-04-15,1774.0,11.0,189.0,13465,1574.0,14776,106,1205,1.0
2020-04-16,1370.0,7.0,189.0,14639,1174.0,16146,113,1394,1.0
2020-04-17,1959.0,14.0,123.0,16461,1822.0,18105,127,1517,1.0
2020-04-18,2649.0,21.0,162.0,18927,2466.0,20754,148,1679,1.0
2020-04-19,3570.0,28.0,84.0,22385,3458.0,24324,176,1763,1.0
2020-04-20,2026.0,28.0,75.0,24308,1923.0,26350,204,1838,1.0
2020-04-21,3083.0,29.0,219.0,27143,2835.0,29433,233,2057,1.0
2020-04-22,2548.0,28.0,210.0,29453,2310.0,31981,261,2267,1.0
2020-04-23,1959.0,27.0,181.0,31204,1751.0,33940,288,2448,1.0
2020-04-24,2957.0,37.0,287.0,33837,2633.0,36897,325,2735,1.0
2020-04-25,2612.0,41.0,312.0,36096,2259.0,39509,366,3047,1.0
2020-04-26,2971.0,38.0,128.0,38901,2805.0,42480,404,3175,1.0
2020-04-27,2871.0,31.0,349.0,41392,2491.0,45351,435,3524,1.0
2020-04-28,3075.0,44.0,606.0,43817,2425.0,48426,479,4130,1.0
2020-04-29,2220.0,67.0,480.0,45490,1673.0,50646,546,4610,1.0
2020-04-30,3093.0,65.0,525.0,47993,2503.0,53739,611,5135,1.0
2020-05-01,3561.0,47.0,631.0,50876,2883.0,57300,658,5766,1.0
2020-05-02,5358.0,37.0,608.0,55589,4713.0,62658,695,6374,1.0
2020-05-03,5948.0,34.0,655.0,60848,5259.0,68606,729,7029,1.0
2020-05-04,5795.0,35.0,544.0,66064,5216.0,74401,764,7573,1.0
2020-05-05,5714.0,52.0,297.0,71429,5365.0,80115,816,7870,1.0
2020-05-06,5858.0,50.0,588.0,76649,5220.0,85973,866,8458,1.0
2020-05-07,6703.0,39.0,769.0,82544,5895.0,92676,905,9227,1.0
2020-05-08,5846.0,51.0,1032.0,87307,4763.0,98522,956,10259,1.0
2020-05-09,5667.0,54.0,2520.0,90400,3093.0,104189,1010,12779,1.0
2020-05-10,5551.0,58.0,1011.0,94882,4482.0,109740,1068,13790,1.0
2020-05-11,6169.0,56.0,4032.0,96963,2081.0,115909,1124,17822,1.0
2020-05-12,5392.0,55.0,1820.0,100480,3517.0,121301,1179,19642,1.0
2020-05-13,4703.0,53.0,1864.0,103266,2786.0,126004,1232,21506,1.0
2020-05-14,4712.0,58.0,1821.0,106099,2833.0,130716,1290,23327,1.0
2020-05-15,4748.0,68.0,1235.0,109544,3445.0,135464,1358,24562,1.0
2020-05-16,3505.0,74.0,1470.0,111505,1961.0,138969,1432,26032,1.0
2020-05-17,3855.0,71.0,1458.0,113831,2326.0,142824,1503,27490,1.0
2020-05-18,3238.0,77.0,1423.0,115569,1738.0,146062,1580,28913,1.0
2020-05-19,3545.0,71.0,2583.0,116460,891.0,149607,1651,31496,1.0
2020-05-20,2699.0,75.0,5440.0,113644,-2816.0,152306,1726,36936,1.0
2020-05-21,2913.0,68.0,3746.0,112743,-901.0,155219,1794,40682,1.0
2020-05-22,2988.0,73.0,2900.0,112758,15.0,158207,1867,43582,1.0
2020-05-23,3190.0,67.0,3831.0,112050,-708.0,161397,1934,47413,1.0
2020-05-24,2516.0,59.0,2427.0,112080,30.0,163913,1993,49840,1.0
2020-05-25,2560.0,41.0,3746.0,110853,-1227.0,166473,2034,53586,1.0
2020-05-26,2830.0,76.0,8033.0,105574,-5279.0,169303,2110,61619,1.0
2020-05-27,2140.0,73.0,5839.0,101802,-3772.0,171443,2183,67458,1.0
2020-05-28,2054.0,71.0,3793.0,99992,-1810.0,173497,2254,71251,1.0
2020-05-29,2332.0,76.0,3474.0,98774,-1218.0,175829,2330,74725,1.0
2020-05-30,2367.0,78.0,3599.0,97464,-1310.0,178196,2408,78324,1.0
2020-05-31,2595.0,69.0,1855.0,98135,671.0,180791,2477,80179,1.0
2020-06-01,2297.0,76.0,2060.0,98296,161.0,183088,2553,82239,1.0
2020-06-02,2286.0,71.0,6030.0,94481,-3815.0,185374,2624,88269,1.0
2020-06-03,1842.0,61.0,3385.0,92877,-1604.0,187216,2685,91654,1.0
2020-06-04,1998.0,64.0,3061.0,91750,-1127.0,189214,2749,94715,1.0
2020-06-05,1855.0,57.0,2643.0,90905,-845.0,191069,2806,97358,1.0
2020-06-06,1992.0,58.0,3073.0,89766,-1139.0,193061,2864,100431,1.0
2020-06-07,1956.0,55.0,2283.0,89384,-382.0,195017,2919,102714,1.0
2020-06-08,2001.0,51.0,1633.0,89701,317.0,197018,2970,104347,1.0
2020-06-09,1572.0,59.0,5390.0,85824,-3877.0,198590,3029,109737,1.0
2020-06-10,1195.0,56.0,3796.0,83167,-2657.0,199785,3085,113533,1.0
2020-06-11,1436.0,53.0,2236.0,82314,-853.0,201221,3138,115769,1.0
2020-06-12,1714.0,49.0,2255.0,81724,-590.0,202935,3187,118024,1.0
2020-06-13,1493.0,44.0,1534.0,81639,-85.0,204428,3231,119558,1.0
2020-06-14,1477.0,50.0,2133.0,80933,-706.0,205905,3281,121691,1.0
2020-06-15,1359.0,53.0,1549.0,80690,-243.0,207264,3334,123240,1.0
2020-06-16,1416.0,52.0,2874.0,79180,-1510.0,208680,3386,126114,1.0
2020-06-17,1065.0,48.0,2271.0,77926,-1254.0,209745,3434,128385,1.0
