year,month,day,date,total_cases,cases_day,total_deaths,deaths_day,fatality_percent,recovered_total,recovered_day,active_now,active_delta
2025,3,18,18.03.2025,3885719,725,50067,4,0.0,3699346,816,136306,-95
2025,3,11,11.03.2025,3884994,864,50063,5,0.0,3698530,885,136401,-26
2025,3,4,04.03.2025,3884130,903,50058,2,0.0,3697645,957,136427,-56
2025,2,25,25.02.2025,3883227,996,50056,1,0.0,3696688,1020,136483,-25
2025,2,18,18.02.2025,3882231,939,50055,1,0.0,3695668,937,136508,1
2025,2,11,11.02.2025,3881292,1036,50054,4,0.0,3694731,1210,136507,-178
2025,2,4,04.02.2025,3880256,1212,50050,2,0.0,3693521,1240,136685,-30
2025,1,28,28.01.2025,3879044,1241,50048,,,3692281,1401,136715,-160
2025,1,21,21.01.2025,3877803,1280,50048,7,0.01,3690880,1559,136875,-286
2025,1,14,14.01.2025,3876523,1494,50041,14,0.01,3689321,1224,137161,256
2025,1,7,07.01.2025,3875029,1362,50027,17,0.01,3688097,2762,136905,-1417
2024,12,31,31.12.2024,3873667,2994,50010,16,0.01,3685335,4096,138322,-1118
2024,12,24,24.12.2024,3870673,3958,49994,16,0.01,3681239,4843,139440,-901
2024,12,17,17.12.2024,3866715,4930,49978,13,0.01,3676396,5193,140341,-276
2024,12,10,10.12.2024,3861785,5208,49965,7,0.0,3671203,4977,140617,224
2024,12,3,03.12.2024,3856577,4809,49958,11,0.01,3666226,4893,140393,-95
2024,11,26,26.11.2024,3851768,4959,49947,11,0.01,3661333,4305,140488,643
2024,11,19,19.11.2024,3846809,4316,49936,12,0.01,3657028,3701,139845,603
2024,11,12,12.11.2024,3842493,3805,49924,5,0.0,3653327,4209,139242,-409
2024,11,5,05.11.2024,3838688,4088,49919,14,0.01,3649118,4325,139651,-251
2024,10,29,29.10.2024,3834600,4249,49905,13,0.01,3644793,3770,139902,466
2024,10,22,22.10.2024,3830351,3788,49892,12,0.01,3641023,4058,139436,-282
2024,10,15,15.10.2024,3826563,4131,49880,12,0.01,3636965,5059,139718,-940
2024,10,8,08.10.2024,3822432,5079,49868,8,0.01,3631906,5952,140658,-881
2024,10,1,01.10.2024,3817353,5992,49860,11,0.01,3625954,6699,141539,-718
2024,9,24,24.09.2024,3811361,6736,49849,6,0.0,3619255,7175,142257,-445
2024,9,17,17.09.2024,3804625,7196,49843,8,0.01,3612080,5737,142702,1451
2024,9,10,10.09.2024,3797429,5769,49835,8,0.01,3606343,5057,141251,704
2024,9,3,03.09.2024,3791660,5050,49827,7,0.0,3601286,4788,140547,255
2024,8,27,27.08.2024,3786610,4828,49820,2,0.0,3596498,3868,140292,958
2024,8,20,20.08.2024,3781782,3940,49818,2,0.0,3592630,3385,139334,553
2024,8,13,13.08.2024,3777842,3227,49816,4,0.0,3589245,2534,138781,689
2024,8,6,06.08.2024,3774615,2524,49812,,,3586711,1884,138092,640
2024,7,30,30.07.2024,3772091,1803,49812,6,0.0,3584827,1407,137452,390
2024,7,23,23.07.2024,3770288,1506,49806,7,0.01,3583420,1445,137062,54
2024,7,16,16.07.2024,3768782,1425,49799,7,0.01,3581975,1441,137008,-23
2024,7,9,09.07.2024,3767357,1534,49792,6,0.0,3580534,1442,137031,86
