week_start,temp_mean,temp_min,temp_max,humidity_mean,pressure_mean,wind_speed_mean,precip_sum
2020-03-16,2.671,-7.8,11.0,55.554,750.588,1.482,0.8
2020-03-23,5.243,-5.4,17.2,42.268,757.382,1.071,0.0
2020-03-30,1.734,-7.2,10.2,65.232,743.271,1.75,15.6
2020-04-06,4.802,-5.4,15.7,55.875,750.593,1.304,2.4
2020-04-13,4.645,0.1,15.7,69.464,737.648,1.107,34.9
2020-04-20,5.145,-1.1,10.4,57.161,742.298,1.821,10.0
2020-04-27,8.912,-0.6,24.4,50.679,743.127,1.339,8.6
2020-05-04,14.102,8.2,21.1,72.821,742.137,1.232,49.5
2020-05-11,11.745,2.9,24.6,52.179,741.443,1.196,11.8
2020-05-18,7.036,2.0,14.6,78.232,744.42,1.071,62.8
2020-05-25,13.938,6.9,22.7,75.161,750.73,1.0,191.2
2020-06-01,13.779,8.1,27.0,83.429,744.625,0.893,122.4
2020-06-08,20.214,10.5,30.0,69.089,750.007,1.0,50.3
2020-06-15,21.454,11.9,30.6,65.214,749.348,0.696,145.0
2020-06-22,20.566,9.5,28.9,58.393,750.113,0.929,1.6
2020-06-29,19.904,13.0,27.5,69.679,744.434,0.643,72.5
2020-07-06,20.682,11.4,30.2,68.618,745.436,0.679,45.0
2020-07-13,16.909,14.1,24.9,83.911,743.846,1.196,71.7
2020-07-20,16.605,9.1,23.4,76.321,745.03,0.518,40.5
2020-07-27,18.589,11.8,28.8,73.696,745.205,0.839,114.5
2020-08-03,19.804,12.3,27.2,65.393,751.107,0.679,0.0
2020-08-10,15.812,9.9,25.9,77.071,746.827,1.0,16.0
2020-08-17,16.841,9.1,24.6,68.893,747.505,0.536,4.0
2020-08-24,17.346,11.1,24.4,79.411,743.302,0.232,45.6
2020-08-31,18.775,11.1,30.2,58.589,750.979,0.821,0.6
2020-09-07,14.261,7.7,24.2,75.607,746.616,0.536,44.8
2020-09-14,11.405,6.2,21.9,76.518,746.262,1.054,78.1
2020-09-21,13.641,6.1,22.2,72.375,749.927,0.482,0.0
2020-09-28,11.671,5.1,19.5,66.446,756.291,0.518,6.0
2020-10-05,12.843,6.1,19.3,59.589,753.9,0.464,22.0
2020-10-12,9.082,1.5,18.0,84.161,746.648,0.25,43.8
2020-10-19,6.032,1.0,13.8,84.036,744.589,0.696,43.3
2020-10-26,6.843,3.0,10.9,80.446,752.5,0.571,1.5
2020-11-02,7.12,4.1,9.8,84.607,749.852,1.196,32.2
2020-11-09,1.714,-2.7,4.3,84.786,756.702,0.893,1.7
2020-11-16,-1.464,-7.1,1.1,83.357,756.757,1.5,21.9
2020-11-23,1.202,-1.7,2.9,91.946,747.3,0.714,36.2
2020-11-30,-3.363,-8.8,3.1,82.321,761.459,1.464,10.0
2020-12-07,-8.014,-12.1,-4.2,78.875,763.143,0.214,4.9
2020-12-14,-2.195,-5.8,1.8,89.839,753.641,0.804,19.9
2020-12-21,-2.621,-7.4,1.7,87.179,749.666,1.232,26.6
2020-12-28,-2.923,-10.1,0.7,91.768,752.729,1.161,24.9
2021-01-04,-4.0,-9.0,0.8,90.268,751.023,0.893,21.7
2021-01-11,-13.404,-21.2,-7.4,84.696,745.918,1.036,48.3
2021-01-18,-8.071,-23.4,2.2,88.0,746.416,0.321,12.4
2021-01-25,-0.061,-4.4,3.3,84.321,737.334,1.679,31.9
2021-02-01,-8.264,-17.9,-0.4,80.804,742.48,1.196,17.1
2021-02-08,-14.093,-18.6,-10.1,81.804,746.839,1.554,76.3
2021-02-15,-13.084,-21.6,-5.8,79.036,751.225,0.518,16.6
2021-02-22,-6.514,-23.5,5.4,79.643,751.484,1.268,27.2
2021-03-01,-1.32,-10.7,5.0,74.054,742.613,1.268,15.0
2021-03-08,-8.812,-20.4,2.7,68.286,747.398,1.554,19.2
2021-03-15,0.188,-5.4,3.2,79.518,743.887,1.0,16.1
2021-03-22,2.336,-7.9,10.7,65.589,747.407,0.893,3.3
2021-03-29,3.705,-2.2,8.1,74.107,747.764,0.964,38.9
2021-04-05,5.955,0.0,17.1,59.179,744.418,1.107,29.9
2021-04-12,13.118,2.8,22.3,43.661,752.254,1.518,0.0
2021-04-19,6.762,1.1,15.6,70.5,745.682,1.339,91.1
2021-04-26,7.114,1.7,15.9,64.054,745.012,1.214,39.9
2021-05-03,9.254,4.2,18.2,70.696,740.512,1.393,105.1
2021-05-10,15.457,4.4,25.6,59.054,749.843,1.089,8.3
2021-05-17,18.68,8.2,30.7,53.321,742.752,1.214,2.7
2021-05-24,15.816,7.4,23.6,66.143,748.602,1.054,63.5
2021-05-31,15.093,4.2,23.0,52.464,751.63,1.321,1.6
2021-06-07,16.993,13.0,24.9,81.571,744.732,0.696,66.1
2021-06-14,21.498,12.1,30.3,58.107,750.838,0.732,14.8
2021-06-21,27.12,18.2,34.4,54.429,749.661,0.536,2.0
2021-06-28,19.77,15.4,29.5,77.125,742.661,1.143,27.0
2021-07-05,24.436,14.5,31.8,51.036,751.471,0.804,0.0
2021-07-12,25.088,18.5,32.7,64.071,747.029,0.536,59.0
2021-07-19,19.595,12.1,29.2,61.0,744.232,0.929,2.6
2021-07-26,21.088,12.8,28.6,67.786,745.393,0.571,18.7
2021-08-02,19.925,12.9,29.7,78.804,745.027,0.661,70.7
