Неделя с;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «covid», по неделям, 28.02.2022 — 06.04.2025, Москва и область, все устройства
28.02.2022;34 570;0,00556;
07.03.2022;24 160;0,00399;
14.03.2022;29 229;0,00465;
21.03.2022;26 556;0,00420;
28.03.2022;24 962;0,00388;
04.04.2022;22 877;0,00374;
11.04.2022;21 560;0,00356;
18.04.2022;20 478;0,00335;
25.04.2022;20 885;0,00362;
02.05.2022;15 643;0,00295;
09.05.2022;20 243;0,00321;
16.05.2022;21 740;0,00355;
23.05.2022;19 670;0,00300;
30.05.2022;17 303;0,00296;
06.06.2022;15 778;0,00296;
13.06.2022;15 879;0,00287;
20.06.2022;19 410;0,00353;
27.06.2022;15 128;0,00280;
04.07.2022;16 088;0,00310;
11.07.2022;15 744;0,00302;
18.07.2022;17 209;0,00344;
25.07.2022;18 191;0,00369;
01.08.2022;21 250;0,00413;
08.08.2022;23 408;0,00428;
15.08.2022;41 395;0,00764;
22.08.2022;24 142;0,00461;
29.08.2022;22 006;0,00378;
05.09.2022;21 232;0,00334;
12.09.2022;22 206;0,00366;
19.09.2022;20 742;0,00334;
26.09.2022;16 931;0,00287;
03.10.2022;15 620;0,00268;
10.10.2022;14 175;0,00251;
17.10.2022;15 244;0,00246;
24.10.2022;14 109;0,00234;
31.10.2022;13 140;0,00223;
07.11.2022;13 268;0,00221;
14.11.2022;14 069;0,00225;
21.11.2022;14 725;0,00238;
28.11.2022;15 008;0,00244;
05.12.2022;14 170;0,00231;
12.12.2022;14 107;0,00235;
19.12.2022;14 741;0,00247;
26.12.2022;9 370;0,00190;
02.01.2023;8 272;0,00173;
09.01.2023;10 448;0,00183;
16.01.2023;10 925;0,00185;
23.01.2023;10 991;0,00186;
30.01.2023;11 156;0,00190;
06.02.2023;11 675;0,00198;
13.02.2023;10 754;0,00185;
20.02.2023;9 351;0,00174;
27.02.2023;10 770;0,00186;
06.03.2023;9 462;0,00169;
13.03.2023;9 789;0,00168;
20.03.2023;9 541;0,00165;
27.03.2023;8 755;0,00155;
03.04.2023;8 808;0,00163;
10.04.2023;8 475;0,00162;
17.04.2023;8 592;0,00160;
24.04.2023;7 516;0,00141;
01.05.2023;7 756;0,00155;
08.05.2023;7 089;0,00144;
15.05.2023;8 862;0,00169;
22.05.2023;11 568;0,00224;
29.05.2023;8 452;0,00164;
05.06.2023;10 555;0,00214;
12.06.2023;7 311;0,00157;
19.06.2023;6 312;0,00132;
26.06.2023;5 331;0,00114;
03.07.2023;5 165;0,00114;
10.07.2023;4 947;0,00108;
17.07.2023;4 950;0,00110;
24.07.2023;4 986;0,00108;
31.07.2023;4 584;0,00105;
07.08.2023;5 842;0,00129;
14.08.2023;5 484;0,00122;
21.08.2023;5 830;0,00129;
28.08.2023;7 804;0,00173;
04.09.2023;6 420;0,00132;
11.09.2023;6 828;0,00135;
18.09.2023;9 804;0,00187;
25.09.2023;9 273;0,00173;
02.10.2023;7 991;0,00146;
09.10.2023;6 974;0,00128;
16.10.2023;6 584;0,00118;
23.10.2023;7 344;0,00134;
30.10.2023;8 228;0,00157;
06.11.2023;7 803;0,00145;
13.11.2023;7 832;0,00143;
20.11.2023;8 252;0,00151;
27.11.2023;10 834;0,00193;
04.12.2023;21 263;0,00381;
11.12.2023;11 418;0,00209;
18.12.2023;8 362;0,00152;
25.12.2023;5 822;0,00119;
01.01.2024;3 942;0,00084;
08.01.2024;6 360;0,00115;
15.01.2024;6 993;0,00118;
22.01.2024;6 024;0,00101;
29.01.2024;6 006;0,00106;
05.02.2024;5 985;0,00110;
12.02.2024;5 698;0,00107;
19.02.2024;5 332;0,00106;
26.02.2024;5 540;0,00093;
04.03.2024;4 864;0,00085;
11.03.2024;5 279;0,00101;
18.03.2024;5 196;0,00098;
25.03.2024;5 163;0,00101;
01.04.2024;4 972;0,00096;
08.04.2024;4 402;0,00088;
15.04.2024;4 861;0,00092;
22.04.2024;5 218;0,00100;
29.04.2024;5 015;0,00111;
06.05.2024;6 347;0,00129;
13.05.2024;6 221;0,00121;
20.05.2024;6 320;0,00131;
27.05.2024;6 042;0,00129;
03.06.2024;4 493;0,00097;
10.06.2024;3 909;0,00086;
17.06.2024;3 283;0,00073;
24.06.2024;2 929;0,00069;
01.07.2024;2 543;0,00060;
08.07.2024;2 498;0,00061;
15.07.2024;2 820;0,00068;
22.07.2024;2 679;0,00065;
29.07.2024;3 097;0,00074;
05.08.2024;3 511;0,00083;
12.08.2024;3 583;0,00087;
19.08.2024;4 019;0,00095;
26.08.2024;4 113;0,00095;
02.09.2024;3 831;0,00089;
09.09.2024;3 990;0,00085;
16.09.2024;4 445;0,00093;
23.09.2024;4 534;0,00092;
30.09.2024;5 125;0,00101;
07.10.2024;4 866;0,00095;
14.10.2024;4 248;0,00089;
21.10.2024;4 695;0,00090;
28.10.2024;4 271;0,00083;
04.11.2024;4 894;0,00090;
11.11.2024;6 302;0,00112;
18.11.2024;5 075;0,00096;
25.11.2024;5 399;0,00092;
02.12.2024;5 793;0,00105;
09.12.2024;4 953;0,00089;
16.12.2024;5 112;0,00089;
23.12.2024;4 178;0,00077;
30.12.2024;2 505;0,00060;
06.01.2025;3 664;0,00074;
13.01.2025;4 059;0,00072;
20.01.2025;4 267;0,00075;
27.01.2025;4 055;0,00070;
03.02.2025;4 516;0,00078;
10.02.2025;4 353;0,00076;
17.02.2025;4 108;0,00075;
24.02.2025;4 409;0,00080;
03.03.2025;4 267;0,00079;
10.03.2025;4 532;0,00081;
17.03.2025;5 441;0,00098;
24.03.2025;4 421;0,00080;
31.03.2025;4 158;0,00076;
