Неделя с;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «боль в горле», по неделям, 28.02.2022 — 06.04.2025, Москва и область, все устройства
28.02.2022;13 548;0,0021;
07.03.2022;13 899;0,0022;
14.03.2022;14 989;0,0023;
21.03.2022;17 083;0,0027;
28.03.2022;18 155;0,0028;
04.04.2022;17 423;0,0028;
11.04.2022;17 593;0,0029;
18.04.2022;16 936;0,0027;
25.04.2022;17 009;0,0029;
02.05.2022;16 749;0,0031;
09.05.2022;16 234;0,0025;
16.05.2022;15 618;0,0025;
23.05.2022;16 311;0,0024;
30.05.2022;16 146;0,0027;
06.06.2022;15 369;0,0028;
13.06.2022;13 832;0,0025;
20.06.2022;13 385;0,0024;
27.06.2022;13 372;0,0024;
04.07.2022;12 272;0,0023;
11.07.2022;13 391;0,0025;
18.07.2022;15 138;0,0030;
25.07.2022;16 592;0,0033;
01.08.2022;20 107;0,0039;
08.08.2022;21 085;0,0038;
15.08.2022;22 442;0,0041;
22.08.2022;20 779;0,0039;
29.08.2022;19 405;0,0033;
05.09.2022;23 578;0,0037;
12.09.2022;27 857;0,0046;
19.09.2022;25 423;0,0041;
26.09.2022;22 044;0,0037;
03.10.2022;20 473;0,0035;
10.10.2022;19 586;0,0034;
17.10.2022;20 459;0,0033;
24.10.2022;20 413;0,0033;
31.10.2022;22 954;0,0039;
07.11.2022;21 990;0,0036;
14.11.2022;25 263;0,0040;
21.11.2022;26 238;0,0042;
28.11.2022;28 797;0,0046;
05.12.2022;29 679;0,0048;
12.12.2022;27 202;0,0045;
19.12.2022;25 283;0,0042;
26.12.2022;21 057;0,0042;
02.01.2023;21 453;0,0045;
09.01.2023;18 939;0,0033;
16.01.2023;19 392;0,0032;
23.01.2023;20 935;0,0035;
30.01.2023;22 323;0,0038;
06.02.2023;23 129;0,0039;
13.02.2023;23 381;0,0040;
20.02.2023;21 776;0,0040;
27.02.2023;20 184;0,0034;
06.03.2023;18 879;0,0033;
13.03.2023;19 114;0,0032;
20.03.2023;18 685;0,0032;
27.03.2023;17 584;0,0031;
03.04.2023;17 414;0,0032;
10.04.2023;16 044;0,0030;
17.04.2023;16 790;0,0031;
24.04.2023;16 102;0,0030;
01.05.2023;15 244;0,0030;
08.05.2023;15 034;0,0030;
15.05.2023;16 085;0,0030;
22.05.2023;16 058;0,0031;
29.05.2023;14 687;0,0028;
05.06.2023;14 158;0,0028;
12.06.2023;12 294;0,0026;
19.06.2023;11 229;0,0023;
26.06.2023;9 850;0,0021;
03.07.2023;9 351;0,0020;
10.07.2023;9 425;0,0020;
17.07.2023;9 459;0,0021;
24.07.2023;9 864;0,0021;
31.07.2023;10 155;0,0023;
07.08.2023;11 068;0,0024;
14.08.2023;11 615;0,0026;
21.08.2023;11 662;0,0025;
28.08.2023;12 758;0,0028;
04.09.2023;18 586;0,0038;
11.09.2023;22 297;0,0044;
18.09.2023;21 234;0,0040;
25.09.2023;19 049;0,0035;
02.10.2023;18 217;0,0033;
09.10.2023;17 889;0,0032;
16.10.2023;17 315;0,0031;
23.10.2023;17 650;0,0032;
30.10.2023;16 909;0,0032;
06.11.2023;17 023;0,0031;
13.11.2023;17 997;0,0032;
20.11.2023;19 869;0,0036;
27.11.2023;22 215;0,0039;
04.12.2023;25 372;0,0045;
11.12.2023;27 820;0,0051;
18.12.2023;24 444;0,0044;
25.12.2023;20 235;0,0041;
01.01.2024;18 278;0,0039;
08.01.2024;16 591;0,0030;
15.01.2024;16 359;0,0027;
22.01.2024;15 984;0,0027;
29.01.2024;16 609;0,0029;
05.02.2024;18 241;0,0033;
12.02.2024;17 280;0,0032;
19.02.2024;16 027;0,0031;
26.02.2024;16 957;0,0028;
04.03.2024;15 806;0,0027;
11.03.2024;16 170;0,0031;
18.03.2024;15 336;0,0029;
25.03.2024;14 812;0,0029;
01.04.2024;14 403;0,0027;
08.04.2024;13 170;0,0026;
15.04.2024;13 382;0,0025;
22.04.2024;13 588;0,0026;
29.04.2024;12 235;0,0027;
06.05.2024;12 114;0,0024;
13.05.2024;12 689;0,0024;
20.05.2024;12 659;0,0026;
27.05.2024;11 417;0,0024;
03.06.2024;10 108;0,0022;
10.06.2024;9 343;0,0020;
17.06.2024;8 869;0,0019;
24.06.2024;8 994;0,0021;
01.07.2024;8 660;0,0020;
08.07.2024;8 670;0,0021;
15.07.2024;8 450;0,0020;
22.07.2024;9 589;0,0023;
29.07.2024;9 911;0,0023;
05.08.2024;10 479;0,0025;
12.08.2024;11 232;0,0027;
19.08.2024;11 858;0,0028;
26.08.2024;11 635;0,0026;
02.09.2024;12 922;0,0030;
09.09.2024;16 828;0,0036;
16.09.2024;16 853;0,0035;
23.09.2024;16 489;0,0033;
30.09.2024;15 577;0,0030;
07.10.2024;15 543;0,0030;
14.10.2024;14 176;0,0029;
21.10.2024;16 073;0,0031;
28.10.2024;15 746;0,0030;
04.11.2024;15 304;0,0028;
11.11.2024;16 389;0,0029;
18.11.2024;15 676;0,0029;
25.11.2024;17 589;0,0030;
02.12.2024;17 510;0,0031;
09.12.2024;18 581;0,0033;
16.12.2024;19 007;0,0033;
23.12.2024;19 491;0,0036;
30.12.2024;16 240;0,0039;
06.01.2025;15 618;0,0031;
13.01.2025;14 206;0,0025;
20.01.2025;15 712;0,0027;
27.01.2025;16 874;0,0029;
03.02.2025;19 004;0,0033;
10.02.2025;21 287;0,0037;
17.02.2025;22 035;0,0040;
24.02.2025;23 176;0,0042;
03.03.2025;22 707;0,0042;
10.03.2025;22 386;0,0040;
17.03.2025;20 811;0,0037;
24.03.2025;19 589;0,0035;
31.03.2025;18 413;0,0034;
