Неделя с;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «ковид», по неделям, 28.02.2022 — 06.04.2025, Москва и область, все устройства
28.02.2022;192 293;0,0309;
07.03.2022;146 122;0,0241;
14.03.2022;155 501;0,0247;
21.03.2022;134 049;0,0212;
28.03.2022;134 127;0,0208;
04.04.2022;122 580;0,0200;
11.04.2022;114 979;0,0190;
18.04.2022;105 166;0,0172;
25.04.2022;99 746;0,0173;
02.05.2022;88 292;0,0166;
09.05.2022;118 690;0,0188;
16.05.2022;96 675;0,0158;
23.05.2022;105 344;0,0160;
30.05.2022;97 256;0,0166;
06.06.2022;84 419;0,0158;
13.06.2022;87 550;0,0158;
20.06.2022;96 715;0,0176;
27.06.2022;82 305;0,0152;
04.07.2022;103 824;0,0200;
11.07.2022;119 852;0,0230;
18.07.2022;143 519;0,0287;
25.07.2022;177 600;0,0361;
01.08.2022;225 925;0,0439;
08.08.2022;265 223;0,0486;
15.08.2022;291 569;0,0538;
22.08.2022;258 428;0,0494;
29.08.2022;222 308;0,0382;
05.09.2022;204 096;0,0321;
12.09.2022;255 721;0,0422;
19.09.2022;214 626;0,0346;
26.09.2022;156 164;0,0265;
03.10.2022;130 271;0,0223;
10.10.2022;112 693;0,0199;
17.10.2022;111 438;0,0180;
24.10.2022;105 289;0,0174;
31.10.2022;95 188;0,0161;
07.11.2022;98 154;0,0164;
14.11.2022;110 121;0,0176;
21.11.2022;119 966;0,0194;
28.11.2022;118 634;0,0193;
05.12.2022;110 414;0,0180;
12.12.2022;95 504;0,0159;
19.12.2022;88 475;0,0148;
26.12.2022;64 180;0,0130;
02.01.2023;70 360;0,0147;
09.01.2023;85 844;0,0151;
16.01.2023;80 328;0,0136;
23.01.2023;78 446;0,0133;
30.01.2023;87 417;0,0149;
06.02.2023;98 205;0,0166;
13.02.2023;97 784;0,0168;
20.02.2023;82 243;0,0153;
27.02.2023;86 159;0,0149;
06.03.2023;77 113;0,0137;
13.03.2023;78 109;0,0134;
20.03.2023;74 887;0,0130;
27.03.2023;70 210;0,0124;
03.04.2023;64 844;0,0120;
10.04.2023;59 347;0,0113;
17.04.2023;64 858;0,0121;
24.04.2023;55 406;0,0104;
01.05.2023;49 761;0,0099;
08.05.2023;45 981;0,0093;
15.05.2023;49 566;0,0095;
22.05.2023;45 933;0,0089;
29.05.2023;41 879;0,0081;
05.06.2023;38 164;0,0077;
12.06.2023;34 373;0,0074;
19.06.2023;32 060;0,0067;
26.06.2023;27 455;0,0058;
03.07.2023;26 778;0,0059;
10.07.2023;25 611;0,0056;
17.07.2023;24 479;0,0054;
24.07.2023;25 055;0,0054;
31.07.2023;24 488;0,0056;
07.08.2023;30 261;0,0066;
14.08.2023;28 729;0,0064;
21.08.2023;29 178;0,0064;
28.08.2023;32 485;0,0072;
04.09.2023;42 439;0,0087;
11.09.2023;53 121;0,0105;
18.09.2023;115 832;0,0221;
25.09.2023;70 256;0,0131;
02.10.2023;53 837;0,0098;
09.10.2023;45 035;0,0082;
16.10.2023;43 291;0,0078;
23.10.2023;46 231;0,0084;
30.10.2023;47 568;0,0090;
06.11.2023;55 696;0,0103;
13.11.2023;61 219;0,0112;
20.11.2023;66 414;0,0121;
27.11.2023;78 152;0,0139;
04.12.2023;87 661;0,0157;
11.12.2023;83 107;0,0152;
18.12.2023;77 760;0,0142;
25.12.2023;52 530;0,0107;
01.01.2024;36 908;0,0079;
08.01.2024;42 065;0,0076;
15.01.2024;42 341;0,0072;
22.01.2024;40 613;0,0068;
29.01.2024;42 626;0,0075;
05.02.2024;41 198;0,0076;
12.02.2024;40 870;0,0076;
19.02.2024;40 020;0,0079;
26.02.2024;40 957;0,0069;
04.03.2024;35 130;0,0062;
11.03.2024;34 721;0,0066;
18.03.2024;36 808;0,0070;
25.03.2024;31 821;0,0062;
01.04.2024;30 842;0,0059;
08.04.2024;27 028;0,0054;
15.04.2024;26 914;0,0051;
22.04.2024;26 767;0,0051;
29.04.2024;24 083;0,0053;
06.05.2024;25 189;0,0051;
13.05.2024;28 321;0,0055;
20.05.2024;35 891;0,0074;
27.05.2024;30 928;0,0066;
03.06.2024;24 501;0,0053;
10.06.2024;22 102;0,0048;
17.06.2024;20 308;0,0045;
24.06.2024;18 225;0,0043;
01.07.2024;16 531;0,0039;
08.07.2024;17 339;0,0042;
15.07.2024;18 769;0,0045;
22.07.2024;19 745;0,0047;
29.07.2024;21 854;0,0052;
05.08.2024;33 571;0,0080;
12.08.2024;39 226;0,0095;
19.08.2024;45 366;0,0107;
26.08.2024;47 013;0,0108;
02.09.2024;44 648;0,0104;
09.09.2024;52 356;0,0112;
16.09.2024;56 172;0,0117;
23.09.2024;53 027;0,0108;
30.09.2024;43 518;0,0086;
07.10.2024;37 971;0,0074;
14.10.2024;29 535;0,0062;
21.10.2024;33 218;0,0064;
28.10.2024;31 599;0,0061;
04.11.2024;31 068;0,0057;
11.11.2024;33 505;0,0059;
18.11.2024;32 542;0,0061;
25.11.2024;36 966;0,0063;
02.12.2024;35 073;0,0063;
09.12.2024;34 610;0,0062;
16.12.2024;34 845;0,0061;
23.12.2024;33 877;0,0062;
30.12.2024;23 705;0,0057;
06.01.2025;27 889;0,0056;
13.01.2025;26 152;0,0046;
20.01.2025;26 744;0,0047;
27.01.2025;28 553;0,0049;
03.02.2025;27 352;0,0047;
10.02.2025;27 228;0,0048;
17.02.2025;28 826;0,0052;
24.02.2025;27 457;0,0050;
03.03.2025;29 260;0,0054;
10.03.2025;29 633;0,0053;
17.03.2025;32 468;0,0058;
24.03.2025;25 559;0,0046;
31.03.2025;21 819;0,0040;
