Неделя с;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «коронавирус», по неделям, 28.02.2022 — 06.04.2025, Москва и область, все устройства
28.02.2022;590 942;0,0951;
07.03.2022;476 511;0,0786;
14.03.2022;539 824;0,0858;
21.03.2022;470 896;0,0745;
28.03.2022;501 291;0,0779;
04.04.2022;429 651;0,0703;
11.04.2022;387 861;0,0641;
18.04.2022;365 701;0,0599;
25.04.2022;354 043;0,0614;
02.05.2022;317 023;0,0598;
09.05.2022;431 213;0,0684;
16.05.2022;354 534;0,0580;
23.05.2022;347 367;0,0530;
30.05.2022;324 094;0,0554;
06.06.2022;270 436;0,0508;
13.06.2022;293 430;0,0531;
20.06.2022;315 229;0,0574;
27.06.2022;267 007;0,0495;
04.07.2022;308 677;0,0595;
11.07.2022;338 341;0,0651;
18.07.2022;383 142;0,0767;
25.07.2022;432 398;0,0879;
01.08.2022;536 733;0,1044;
08.08.2022;616 246;0,1129;
15.08.2022;652 911;0,1206;
22.08.2022;568 358;0,1087;
29.08.2022;512 112;0,0880;
05.09.2022;449 590;0,0707;
12.09.2022;619 880;0,1023;
19.09.2022;525 035;0,0846;
26.09.2022;404 407;0,0686;
03.10.2022;352 079;0,0605;
10.10.2022;311 558;0,0552;
17.10.2022;297 927;0,0481;
24.10.2022;293 826;0,0487;
31.10.2022;256 104;0,0435;
07.11.2022;245 321;0,0410;
14.11.2022;274 011;0,0440;
21.11.2022;291 700;0,0472;
28.11.2022;286 677;0,0467;
05.12.2022;303 577;0,0496;
12.12.2022;258 260;0,0430;
19.12.2022;252 761;0,0424;
26.12.2022;186 438;0,0379;
02.01.2023;183 783;0,0386;
09.01.2023;219 799;0,0387;
16.01.2023;191 987;0,0326;
23.01.2023;181 437;0,0308;
30.01.2023;200 176;0,0341;
06.02.2023;224 329;0,0381;
13.02.2023;205 171;0,0354;
20.02.2023;178 258;0,0332;
27.02.2023;180 620;0,0312;
06.03.2023;166 043;0,0296;
13.03.2023;162 196;0,0278;
20.03.2023;151 560;0,0263;
27.03.2023;143 061;0,0253;
03.04.2023;133 593;0,0248;
10.04.2023;122 899;0,0235;
17.04.2023;130 254;0,0243;
24.04.2023;112 686;0,0212;
01.05.2023;105 941;0,0212;
08.05.2023;96 107;0,0195;
15.05.2023;103 114;0,0197;
22.05.2023;79 573;0,0154;
29.05.2023;71 614;0,0139;
05.06.2023;63 119;0,0128;
12.06.2023;58 263;0,0125;
19.06.2023;54 723;0,0114;
26.06.2023;48 340;0,0103;
03.07.2023;46 176;0,0102;
10.07.2023;43 152;0,0094;
17.07.2023;42 950;0,0095;
24.07.2023;42 056;0,0091;
31.07.2023;39 653;0,0091;
07.08.2023;49 994;0,0110;
14.08.2023;45 478;0,0101;
21.08.2023;45 625;0,0101;
28.08.2023;48 993;0,0108;
04.09.2023;59 107;0,0122;
11.09.2023;66 076;0,0130;
18.09.2023;138 412;0,0264;
25.09.2023;85 859;0,0160;
02.10.2023;70 090;0,0128;
09.10.2023;55 698;0,0102;
16.10.2023;51 702;0,0093;
23.10.2023;53 053;0,0096;
30.10.2023;54 825;0,0104;
06.11.2023;64 594;0,0120;
13.11.2023;62 356;0,0114;
20.11.2023;63 384;0,0116;
27.11.2023;72 019;0,0128;
04.12.2023;77 060;0,0138;
11.12.2023;67 452;0,0123;
18.12.2023;65 519;0,0119;
25.12.2023;51 263;0,0105;
01.01.2024;42 380;0,0091;
08.01.2024;46 921;0,0085;
15.01.2024;45 984;0,0078;
22.01.2024;42 089;0,0071;
29.01.2024;42 617;0,0075;
05.02.2024;38 147;0,0070;
12.02.2024;36 806;0,0069;
19.02.2024;36 194;0,0072;
26.02.2024;38 255;0,0064;
04.03.2024;36 149;0,0063;
11.03.2024;32 483;0,0062;
18.03.2024;38 551;0,0073;
25.03.2024;31 226;0,0061;
01.04.2024;33 754;0,0065;
08.04.2024;26 976;0,0054;
15.04.2024;28 432;0,0054;
22.04.2024;29 557;0,0056;
29.04.2024;30 633;0,0068;
06.05.2024;34 220;0,0069;
13.05.2024;34 084;0,0066;
20.05.2024;41 446;0,0086;
27.05.2024;35 142;0,0075;
03.06.2024;26 140;0,0056;
10.06.2024;25 298;0,0056;
17.06.2024;21 502;0,0048;
24.06.2024;17 531;0,0041;
01.07.2024;16 522;0,0039;
08.07.2024;17 697;0,0043;
15.07.2024;19 185;0,0046;
22.07.2024;19 707;0,0047;
29.07.2024;21 017;0,0050;
05.08.2024;28 837;0,0068;
12.08.2024;33 749;0,0082;
19.08.2024;34 901;0,0082;
26.08.2024;31 810;0,0073;
02.09.2024;29 682;0,0069;
09.09.2024;35 841;0,0077;
16.09.2024;41 582;0,0087;
23.09.2024;39 900;0,0081;
30.09.2024;30 750;0,0061;
07.10.2024;25 896;0,0050;
14.10.2024;22 608;0,0047;
21.10.2024;24 452;0,0047;
28.10.2024;22 526;0,0043;
04.11.2024;26 918;0,0049;
11.11.2024;28 452;0,0050;
18.11.2024;23 296;0,0044;
25.11.2024;30 293;0,0052;
02.12.2024;28 305;0,0051;
09.12.2024;24 451;0,0044;
16.12.2024;23 567;0,0041;
23.12.2024;24 026;0,0044;
30.12.2024;18 552;0,0045;
06.01.2025;23 161;0,0047;
13.01.2025;22 078;0,0039;
20.01.2025;21 977;0,0038;
27.01.2025;25 627;0,0044;
03.02.2025;21 232;0,0036;
10.02.2025;19 669;0,0034;
17.02.2025;23 651;0,0043;
24.02.2025;20 633;0,0037;
03.03.2025;21 999;0,0040;
10.03.2025;21 171;0,0037;
17.03.2025;54 758;0,0099;
24.03.2025;20 028;0,0036;
31.03.2025;18 157;0,0033;
