Неделя с;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «кт легких», по неделям, 28.02.2022 — 06.04.2025, Москва и область, все устройства
28.02.2022;10 526;0,00169;
07.03.2022;7 752;0,00128;
14.03.2022;8 050;0,00128;
21.03.2022;8 157;0,00129;
28.03.2022;8 172;0,00127;
04.04.2022;7 663;0,00125;
11.04.2022;7 216;0,00119;
18.04.2022;6 843;0,00112;
25.04.2022;6 473;0,00112;
02.05.2022;5 239;0,00098;
09.05.2022;5 970;0,00094;
16.05.2022;5 805;0,00094;
23.05.2022;6 031;0,00092;
30.05.2022;5 739;0,00098;
06.06.2022;5 392;0,00101;
13.06.2022;5 337;0,00096;
20.06.2022;5 343;0,00097;
27.06.2022;5 244;0,00097;
04.07.2022;5 423;0,00104;
11.07.2022;5 369;0,00103;
18.07.2022;5 520;0,00110;
25.07.2022;6 183;0,00125;
01.08.2022;6 812;0,00132;
08.08.2022;7 973;0,00146;
15.08.2022;8 342;0,00154;
22.08.2022;7 805;0,00149;
29.08.2022;8 361;0,00143;
05.09.2022;6 887;0,00108;
12.09.2022;7 721;0,00127;
19.09.2022;7 892;0,00127;
26.09.2022;7 187;0,00122;
03.10.2022;6 700;0,00115;
10.10.2022;6 650;0,00117;
17.10.2022;6 954;0,00112;
24.10.2022;6 667;0,00110;
31.10.2022;6 694;0,00113;
07.11.2022;7 602;0,00127;
14.11.2022;8 152;0,00130;
21.11.2022;9 429;0,00152;
28.11.2022;9 749;0,00158;
05.12.2022;10 223;0,00167;
12.12.2022;9 219;0,00153;
19.12.2022;8 125;0,00136;
26.12.2022;5 562;0,00113;
02.01.2023;5 178;0,00108;
09.01.2023;7 198;0,00126;
16.01.2023;7 254;0,00123;
23.01.2023;7 391;0,00125;
30.01.2023;7 232;0,00123;
06.02.2023;7 504;0,00127;
13.02.2023;8 075;0,00139;
20.02.2023;6 563;0,00122;
27.02.2023;7 390;0,00127;
06.03.2023;6 571;0,00117;
13.03.2023;6 727;0,00115;
20.03.2023;6 724;0,00116;
27.03.2023;6 335;0,00112;
03.04.2023;5 873;0,00109;
10.04.2023;5 382;0,00103;
17.04.2023;5 626;0,00105;
24.04.2023;5 268;0,00099;
01.05.2023;4 698;0,00094;
08.05.2023;4 309;0,00087;
15.05.2023;5 113;0,00098;
22.05.2023;5 350;0,00103;
29.05.2023;5 655;0,00110;
05.06.2023;4 950;0,00100;
12.06.2023;4 615;0,00099;
19.06.2023;4 505;0,00094;
26.06.2023;4 292;0,00092;
03.07.2023;3 882;0,00086;
10.07.2023;3 927;0,00086;
17.07.2023;3 932;0,00087;
24.07.2023;4 136;0,00089;
31.07.2023;4 143;0,00095;
07.08.2023;4 348;0,00096;
14.08.2023;4 626;0,00103;
21.08.2023;4 438;0,00098;
28.08.2023;4 338;0,00096;
04.09.2023;4 854;0,00100;
11.09.2023;5 191;0,00102;
18.09.2023;6 233;0,00119;
25.09.2023;6 988;0,00130;
02.10.2023;7 168;0,00131;
09.10.2023;6 911;0,00126;
16.10.2023;6 994;0,00126;
23.10.2023;7 274;0,00132;
30.10.2023;7 394;0,00141;
06.11.2023;7 574;0,00141;
13.11.2023;8 024;0,00146;
20.11.2023;8 460;0,00155;
27.11.2023;9 736;0,00173;
04.12.2023;10 678;0,00191;
11.12.2023;13 848;0,00254;
18.12.2023;13 998;0,00255;
25.12.2023;9 403;0,00192;
01.01.2024;5 961;0,00128;
08.01.2024;8 413;0,00152;
15.01.2024;8 178;0,00139;
22.01.2024;8 195;0,00138;
29.01.2024;8 600;0,00152;
05.02.2024;8 390;0,00154;
12.02.2024;8 290;0,00155;
19.02.2024;7 418;0,00147;
26.02.2024;7 886;0,00132;
04.03.2024;6 916;0,00122;
11.03.2024;7 210;0,00139;
18.03.2024;7 114;0,00135;
25.03.2024;6 452;0,00126;
01.04.2024;6 399;0,00123;
08.04.2024;6 204;0,00124;
15.04.2024;6 576;0,00125;
22.04.2024;6 521;0,00125;
29.04.2024;4 598;0,00102;
06.05.2024;5 216;0,00106;
13.05.2024;6 234;0,00122;
20.05.2024;5 753;0,00119;
27.05.2024;5 352;0,00114;
03.06.2024;4 781;0,00104;
10.06.2024;4 255;0,00094;
17.06.2024;4 548;0,00101;
24.06.2024;3 927;0,00093;
01.07.2024;3 983;0,00094;
08.07.2024;4 152;0,00102;
15.07.2024;4 049;0,00098;
22.07.2024;4 120;0,00100;
29.07.2024;4 399;0,00105;
05.08.2024;4 298;0,00102;
12.08.2024;4 195;0,00101;
19.08.2024;4 448;0,00105;
26.08.2024;4 878;0,00112;
02.09.2024;4 884;0,00113;
09.09.2024;5 754;0,00123;
16.09.2024;5 845;0,00122;
23.09.2024;6 131;0,00124;
30.09.2024;6 379;0,00126;
07.10.2024;6 746;0,00132;
14.10.2024;5 896;0,00124;
21.10.2024;7 250;0,00139;
28.10.2024;7 128;0,00138;
04.11.2024;6 274;0,00115;
11.11.2024;6 989;0,00124;
18.11.2024;6 719;0,00127;
25.11.2024;7 603;0,00130;
02.12.2024;7 670;0,00139;
09.12.2024;7 076;0,00128;
16.12.2024;7 209;0,00126;
23.12.2024;6 572;0,00121;
30.12.2024;4 537;0,00110;
06.01.2025;6 310;0,00128;
13.01.2025;6 790;0,00122;
20.01.2025;7 403;0,00130;
27.01.2025;7 143;0,00124;
03.02.2025;6 978;0,00121;
10.02.2025;7 394;0,00130;
17.02.2025;7 579;0,00139;
24.02.2025;8 084;0,00147;
03.03.2025;7 817;0,00145;
10.03.2025;7 904;0,00141;
17.03.2025;8 429;0,00152;
24.03.2025;7 332;0,00134;
31.03.2025;7 387;0,00136;
