Неделя с;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «ломота», по неделям, 28.02.2022 — 06.04.2025, Москва и область, все устройства
28.02.2022;1 752;0,00028;
07.03.2022;1 679;0,00027;
14.03.2022;1 782;0,00028;
21.03.2022;1 990;0,00031;
28.03.2022;2 088;0,00032;
04.04.2022;1 896;0,00031;
11.04.2022;1 982;0,00032;
18.04.2022;1 836;0,00030;
25.04.2022;1 789;0,00031;
02.05.2022;1 860;0,00035;
09.05.2022;1 971;0,00031;
16.05.2022;1 835;0,00030;
23.05.2022;2 131;0,00032;
30.05.2022;1 808;0,00030;
06.06.2022;1 583;0,00029;
13.06.2022;1 827;0,00033;
20.06.2022;1 622;0,00029;
27.06.2022;1 629;0,00030;
04.07.2022;1 620;0,00031;
11.07.2022;2 048;0,00039;
18.07.2022;2 264;0,00045;
25.07.2022;2 974;0,00060;
01.08.2022;3 391;0,00065;
08.08.2022;3 822;0,00070;
15.08.2022;3 943;0,00072;
22.08.2022;3 740;0,00071;
29.08.2022;3 062;0,00052;
05.09.2022;3 128;0,00049;
12.09.2022;3 493;0,00057;
19.09.2022;2 815;0,00045;
26.09.2022;2 312;0,00039;
03.10.2022;2 160;0,00037;
10.10.2022;2 083;0,00036;
17.10.2022;2 247;0,00036;
24.10.2022;2 166;0,00035;
31.10.2022;2 242;0,00038;
07.11.2022;2 624;0,00043;
14.11.2022;2 821;0,00045;
21.11.2022;3 715;0,00060;
28.11.2022;4 096;0,00066;
05.12.2022;4 576;0,00074;
12.12.2022;3 715;0,00061;
19.12.2022;3 065;0,00051;
26.12.2022;2 358;0,00048;
02.01.2023;2 330;0,00048;
09.01.2023;2 118;0,00037;
16.01.2023;2 375;0,00040;
23.01.2023;2 445;0,00041;
30.01.2023;2 449;0,00041;
06.02.2023;2 574;0,00043;
13.02.2023;2 417;0,00041;
20.02.2023;2 335;0,00043;
27.02.2023;2 300;0,00039;
06.03.2023;2 201;0,00039;
13.03.2023;2 421;0,00041;
20.03.2023;2 440;0,00042;
27.03.2023;2 161;0,00038;
03.04.2023;2 111;0,00039;
10.04.2023;1 858;0,00035;
17.04.2023;1 926;0,00036;
24.04.2023;2 011;0,00037;
01.05.2023;1 643;0,00032;
08.05.2023;1 881;0,00038;
15.05.2023;1 842;0,00035;
22.05.2023;1 859;0,00036;
29.05.2023;1 706;0,00033;
05.06.2023;1 609;0,00032;
12.06.2023;1 610;0,00034;
19.06.2023;1 445;0,00030;
26.06.2023;1 435;0,00030;
03.07.2023;1 388;0,00030;
10.07.2023;1 318;0,00028;
17.07.2023;1 506;0,00033;
24.07.2023;1 489;0,00032;
31.07.2023;1 455;0,00033;
07.08.2023;1 527;0,00033;
14.08.2023;1 558;0,00034;
21.08.2023;1 529;0,00033;
28.08.2023;1 623;0,00035;
04.09.2023;1 851;0,00038;
11.09.2023;1 930;0,00038;
18.09.2023;2 108;0,00040;
25.09.2023;2 082;0,00039;
02.10.2023;1 893;0,00034;
09.10.2023;1 874;0,00034;
16.10.2023;2 041;0,00036;
23.10.2023;2 029;0,00037;
30.10.2023;2 091;0,00039;
06.11.2023;2 367;0,00044;
13.11.2023;2 281;0,00041;
20.11.2023;2 313;0,00042;
27.11.2023;2 874;0,00051;
04.12.2023;3 541;0,00063;
11.12.2023;4 101;0,00075;
18.12.2023;3 834;0,00070;
25.12.2023;2 702;0,00055;
01.01.2024;1 981;0,00042;
08.01.2024;1 996;0,00036;
15.01.2024;2 144;0,00036;
22.01.2024;2 217;0,00037;
29.01.2024;2 205;0,00039;
05.02.2024;2 048;0,00037;
12.02.2024;2 076;0,00038;
19.02.2024;1 941;0,00038;
26.02.2024;2 394;0,00040;
04.03.2024;1 882;0,00033;
11.03.2024;1 970;0,00037;
18.03.2024;2 069;0,00039;
25.03.2024;1 937;0,00037;
01.04.2024;1 744;0,00033;
08.04.2024;1 703;0,00034;
15.04.2024;1 581;0,00030;
22.04.2024;1 724;0,00033;
29.04.2024;1 458;0,00032;
06.05.2024;1 548;0,00031;
13.05.2024;1 708;0,00033;
20.05.2024;1 424;0,00029;
27.05.2024;1 462;0,00031;
03.06.2024;1 412;0,00030;
10.06.2024;1 400;0,00031;
17.06.2024;1 374;0,00030;
24.06.2024;1 353;0,00032;
01.07.2024;1 089;0,00025;
08.07.2024;1 227;0,00030;
15.07.2024;1 333;0,00032;
22.07.2024;1 433;0,00034;
29.07.2024;1 575;0,00037;
05.08.2024;1 601;0,00038;
12.08.2024;1 618;0,00039;
19.08.2024;1 682;0,00039;
26.08.2024;1 621;0,00037;
02.09.2024;1 709;0,00039;
09.09.2024;1 901;0,00040;
16.09.2024;2 061;0,00043;
23.09.2024;2 013;0,00041;
30.09.2024;1 895;0,00037;
07.10.2024;1 991;0,00039;
14.10.2024;1 798;0,00038;
21.10.2024;2 095;0,00040;
28.10.2024;1 864;0,00036;
04.11.2024;1 951;0,00036;
11.11.2024;1 986;0,00035;
18.11.2024;1 869;0,00035;
25.11.2024;1 950;0,00033;
02.12.2024;2 052;0,00037;
09.12.2024;1 948;0,00035;
16.12.2024;2 472;0,00043;
23.12.2024;2 368;0,00043;
30.12.2024;2 041;0,00049;
06.01.2025;2 194;0,00044;
13.01.2025;2 136;0,00038;
20.01.2025;2 078;0,00036;
27.01.2025;2 269;0,00039;
03.02.2025;2 291;0,00039;
10.02.2025;2 446;0,00043;
17.02.2025;2 601;0,00047;
24.02.2025;2 965;0,00054;
03.03.2025;3 024;0,00056;
10.03.2025;2 870;0,00051;
17.03.2025;2 600;0,00047;
24.03.2025;2 657;0,00048;
31.03.2025;2 691;0,00049;
