Неделя с;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «нет запахов», по неделям, 28.02.2022 — 06.04.2025, Москва и область, все устройства
28.02.2022;900;0,00014;
07.03.2022;1 050;0,00017;
14.03.2022;974;0,00015;
21.03.2022;1 137;0,00017;
28.03.2022;1 238;0,00019;
04.04.2022;1 118;0,00018;
11.04.2022;1 091;0,00018;
18.04.2022;1 094;0,00017;
25.04.2022;1 013;0,00017;
02.05.2022;910;0,00017;
09.05.2022;1 302;0,00020;
16.05.2022;884;0,00014;
23.05.2022;1 171;0,00017;
30.05.2022;1 007;0,00017;
06.06.2022;848;0,00015;
13.06.2022;926;0,00016;
20.06.2022;837;0,00015;
27.06.2022;906;0,00016;
04.07.2022;813;0,00015;
11.07.2022;827;0,00015;
18.07.2022;784;0,00015;
25.07.2022;806;0,00016;
01.08.2022;997;0,00019;
08.08.2022;1 141;0,00020;
15.08.2022;1 194;0,00022;
22.08.2022;1 102;0,00021;
29.08.2022;991;0,00017;
05.09.2022;1 193;0,00018;
12.09.2022;1 126;0,00018;
19.09.2022;1 051;0,00016;
26.09.2022;878;0,00014;
03.10.2022;873;0,00015;
10.10.2022;850;0,00015;
17.10.2022;906;0,00014;
24.10.2022;918;0,00015;
31.10.2022;931;0,00015;
07.11.2022;1 039;0,00017;
14.11.2022;1 108;0,00017;
21.11.2022;949;0,00015;
28.11.2022;1 029;0,00016;
05.12.2022;1 034;0,00016;
12.12.2022;1 074;0,00017;
19.12.2022;1 138;0,00019;
26.12.2022;808;0,00016;
02.01.2023;853;0,00017;
09.01.2023;1 010;0,00017;
16.01.2023;1 052;0,00017;
23.01.2023;1 126;0,00019;
30.01.2023;1 117;0,00019;
06.02.2023;989;0,00016;
13.02.2023;987;0,00017;
20.02.2023;977;0,00018;
27.02.2023;1 079;0,00018;
06.03.2023;1 168;0,00020;
13.03.2023;1 123;0,00019;
20.03.2023;1 096;0,00019;
27.03.2023;1 035;0,00018;
03.04.2023;921;0,00017;
10.04.2023;949;0,00018;
17.04.2023;959;0,00017;
24.04.2023;968;0,00018;
01.05.2023;912;0,00018;
08.05.2023;897;0,00018;
15.05.2023;894;0,00017;
22.05.2023;807;0,00015;
29.05.2023;780;0,00015;
05.06.2023;729;0,00014;
12.06.2023;763;0,00016;
19.06.2023;713;0,00014;
26.06.2023;663;0,00014;
03.07.2023;702;0,00015;
10.07.2023;673;0,00014;
17.07.2023;665;0,00014;
24.07.2023;695;0,00015;
31.07.2023;639;0,00014;
07.08.2023;761;0,00016;
14.08.2023;683;0,00015;
21.08.2023;664;0,00014;
28.08.2023;627;0,00013;
04.09.2023;805;0,00016;
11.09.2023;864;0,00017;
18.09.2023;930;0,00017;
25.09.2023;996;0,00018;
02.10.2023;895;0,00016;
09.10.2023;1 295;0,00023;
16.10.2023;1 180;0,00021;
23.10.2023;1 064;0,00019;
30.10.2023;1 104;0,00021;
06.11.2023;895;0,00016;
13.11.2023;975;0,00017;
20.11.2023;931;0,00017;
27.11.2023;1 069;0,00019;
04.12.2023;1 119;0,00020;
11.12.2023;1 154;0,00021;
18.12.2023;1 115;0,00020;
25.12.2023;904;0,00018;
01.01.2024;779;0,00016;
08.01.2024;1 082;0,00019;
15.01.2024;1 279;0,00021;
22.01.2024;1 365;0,00023;
29.01.2024;1 405;0,00024;
05.02.2024;1 235;0,00022;
12.02.2024;1 234;0,00023;
19.02.2024;1 207;0,00024;
26.02.2024;1 400;0,00023;
04.03.2024;1 148;0,00020;
11.03.2024;1 007;0,00019;
18.03.2024;1 069;0,00020;
25.03.2024;977;0,00019;
01.04.2024;943;0,00018;
08.04.2024;953;0,00019;
15.04.2024;1 011;0,00019;
22.04.2024;1 125;0,00021;
29.04.2024;958;0,00021;
06.05.2024;904;0,00018;
13.05.2024;949;0,00018;
20.05.2024;1 007;0,00020;
27.05.2024;852;0,00018;
03.06.2024;852;0,00018;
10.06.2024;821;0,00018;
17.06.2024;751;0,00016;
24.06.2024;615;0,00014;
01.07.2024;697;0,00016;
08.07.2024;712;0,00017;
15.07.2024;725;0,00017;
22.07.2024;743;0,00018;
29.07.2024;715;0,00017;
05.08.2024;677;0,00016;
12.08.2024;694;0,00016;
19.08.2024;768;0,00018;
26.08.2024;765;0,00017;
02.09.2024;796;0,00018;
09.09.2024;973;0,00020;
16.09.2024;966;0,00020;
23.09.2024;894;0,00018;
30.09.2024;985;0,00019;
07.10.2024;983;0,00019;
14.10.2024;969;0,00020;
21.10.2024;1 060;0,00020;
28.10.2024;1 051;0,00020;
04.11.2024;1 156;0,00021;
11.11.2024;1 224;0,00021;
18.11.2024;1 009;0,00019;
25.11.2024;1 264;0,00021;
02.12.2024;1 102;0,00020;
09.12.2024;1 161;0,00021;
16.12.2024;1 262;0,00022;
23.12.2024;1 035;0,00019;
30.12.2024;712;0,00017;
06.01.2025;985;0,00020;
13.01.2025;1 127;0,00020;
20.01.2025;1 171;0,00020;
27.01.2025;1 235;0,00021;
03.02.2025;1 225;0,00021;
10.02.2025;1 188;0,00020;
17.02.2025;1 119;0,00020;
24.02.2025;1 345;0,00024;
03.03.2025;1 194;0,00022;
10.03.2025;1 424;0,00025;
17.03.2025;1 340;0,00024;
24.03.2025;1 280;0,00023;
31.03.2025;1 181;0,00021;
