Неделя с;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «одышка», по неделям, 28.02.2022 — 06.04.2025, Москва и область, все устройства
28.02.2022;6 056;0,00097;
07.03.2022;5 818;0,00096;
14.03.2022;6 259;0,00099;
21.03.2022;6 714;0,00106;
28.03.2022;7 097;0,00110;
04.04.2022;7 060;0,00115;
11.04.2022;7 068;0,00116;
18.04.2022;6 532;0,00107;
25.04.2022;5 872;0,00101;
02.05.2022;5 402;0,00101;
09.05.2022;6 581;0,00104;
16.05.2022;6 182;0,00101;
23.05.2022;7 095;0,00108;
30.05.2022;6 162;0,00105;
06.06.2022;5 220;0,00098;
13.06.2022;5 200;0,00094;
20.06.2022;5 255;0,00095;
27.06.2022;4 408;0,00081;
04.07.2022;3 775;0,00072;
11.07.2022;3 909;0,00075;
18.07.2022;3 661;0,00073;
25.07.2022;3 380;0,00068;
01.08.2022;3 377;0,00065;
08.08.2022;4 073;0,00074;
15.08.2022;4 144;0,00076;
22.08.2022;3 346;0,00063;
29.08.2022;3 984;0,00068;
05.09.2022;5 585;0,00087;
12.09.2022;5 847;0,00096;
19.09.2022;5 833;0,00094;
26.09.2022;5 519;0,00093;
03.10.2022;5 782;0,00099;
10.10.2022;5 735;0,00101;
17.10.2022;6 074;0,00098;
24.10.2022;5 960;0,00098;
31.10.2022;5 878;0,00099;
07.11.2022;6 517;0,00108;
14.11.2022;6 791;0,00109;
21.11.2022;6 348;0,00102;
28.11.2022;6 221;0,00101;
05.12.2022;6 490;0,00106;
12.12.2022;6 674;0,00111;
19.12.2022;6 225;0,00104;
26.12.2022;4 544;0,00092;
02.01.2023;3 907;0,00082;
09.01.2023;5 237;0,00092;
16.01.2023;6 173;0,00104;
23.01.2023;6 080;0,00103;
30.01.2023;6 385;0,00108;
06.02.2023;6 106;0,00103;
13.02.2023;6 595;0,00113;
20.02.2023;6 141;0,00114;
27.02.2023;6 572;0,00113;
06.03.2023;6 229;0,00111;
13.03.2023;6 525;0,00112;
20.03.2023;6 736;0,00117;
27.03.2023;6 540;0,00116;
03.04.2023;6 430;0,00119;
10.04.2023;6 012;0,00115;
17.04.2023;6 002;0,00112;
24.04.2023;6 041;0,00113;
01.05.2023;4 630;0,00092;
08.05.2023;4 797;0,00097;
15.05.2023;5 379;0,00103;
22.05.2023;5 590;0,00108;
29.05.2023;5 342;0,00104;
05.06.2023;4 813;0,00097;
12.06.2023;4 363;0,00093;
19.06.2023;4 266;0,00089;
26.06.2023;4 309;0,00092;
03.07.2023;3 667;0,00081;
10.07.2023;3 290;0,00072;
17.07.2023;3 239;0,00072;
24.07.2023;3 310;0,00071;
31.07.2023;2 976;0,00068;
07.08.2023;2 849;0,00062;
14.08.2023;2 881;0,00064;
21.08.2023;2 784;0,00061;
28.08.2023;3 177;0,00070;
04.09.2023;3 813;0,00078;
11.09.2023;4 571;0,00090;
18.09.2023;5 050;0,00096;
25.09.2023;5 147;0,00096;
02.10.2023;5 421;0,00099;
09.10.2023;5 605;0,00102;
16.10.2023;5 747;0,00103;
23.10.2023;6 010;0,00109;
30.10.2023;5 570;0,00106;
06.11.2023;5 685;0,00106;
13.11.2023;6 042;0,00110;
20.11.2023;6 175;0,00113;
27.11.2023;6 639;0,00118;
04.12.2023;6 094;0,00109;
11.12.2023;6 339;0,00116;
18.12.2023;7 304;0,00133;
25.12.2023;5 590;0,00114;
01.01.2024;3 919;0,00084;
08.01.2024;5 749;0,00104;
15.01.2024;7 063;0,00120;
22.01.2024;6 838;0,00115;
29.01.2024;6 614;0,00116;
05.02.2024;6 826;0,00126;
12.02.2024;5 964;0,00112;
19.02.2024;5 982;0,00119;
26.02.2024;6 630;0,00111;
04.03.2024;6 039;0,00106;
11.03.2024;6 290;0,00121;
18.03.2024;6 259;0,00119;
25.03.2024;6 410;0,00125;
01.04.2024;6 145;0,00118;
08.04.2024;6 266;0,00126;
15.04.2024;6 021;0,00114;
22.04.2024;5 473;0,00105;
29.04.2024;4 736;0,00105;
06.05.2024;5 080;0,00103;
13.05.2024;5 484;0,00107;
20.05.2024;5 173;0,00107;
27.05.2024;5 035;0,00107;
03.06.2024;4 886;0,00106;
10.06.2024;4 534;0,00100;
17.06.2024;4 257;0,00095;
24.06.2024;4 088;0,00096;
01.07.2024;3 207;0,00076;
08.07.2024;2 825;0,00069;
15.07.2024;2 977;0,00072;
22.07.2024;2 922;0,00070;
29.07.2024;3 262;0,00078;
05.08.2024;3 214;0,00076;
12.08.2024;3 116;0,00075;
19.08.2024;3 213;0,00076;
26.08.2024;3 181;0,00073;
02.09.2024;3 435;0,00080;
09.09.2024;3 905;0,00084;
16.09.2024;4 797;0,00100;
23.09.2024;5 015;0,00102;
30.09.2024;5 061;0,00100;
07.10.2024;5 771;0,00113;
14.10.2024;5 299;0,00112;
21.10.2024;6 169;0,00119;
28.10.2024;6 163;0,00119;
04.11.2024;6 040;0,00111;
11.11.2024;6 643;0,00118;
18.11.2024;6 384;0,00121;
25.11.2024;6 964;0,00119;
02.12.2024;6 066;0,00110;
09.12.2024;6 856;0,00124;
16.12.2024;7 368;0,00129;
23.12.2024;6 798;0,00125;
30.12.2024;3 705;0,00090;
06.01.2025;5 087;0,00103;
13.01.2025;6 813;0,00122;
20.01.2025;6 494;0,00114;
27.01.2025;6 962;0,00121;
03.02.2025;6 806;0,00118;
10.02.2025;6 797;0,00119;
17.02.2025;7 301;0,00134;
24.02.2025;7 753;0,00141;
03.03.2025;7 268;0,00134;
10.03.2025;8 012;0,00143;
17.03.2025;7 609;0,00137;
24.03.2025;7 395;0,00135;
31.03.2025;7 639;0,00141;
