Неделя с;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «пневмония», по неделям, 28.02.2022 — 06.04.2025, Москва и область, все устройства
28.02.2022;28 677;0,0046;
07.03.2022;24 525;0,0040;
14.03.2022;25 352;0,0040;
21.03.2022;25 179;0,0039;
28.03.2022;26 150;0,0040;
04.04.2022;24 291;0,0039;
11.04.2022;23 152;0,0038;
18.04.2022;22 881;0,0037;
25.04.2022;23 580;0,0040;
02.05.2022;19 704;0,0037;
09.05.2022;28 856;0,0045;
16.05.2022;22 205;0,0036;
23.05.2022;26 577;0,0040;
30.05.2022;23 697;0,0040;
06.06.2022;21 112;0,0039;
13.06.2022;21 445;0,0038;
20.06.2022;19 746;0,0035;
27.06.2022;17 288;0,0032;
04.07.2022;15 211;0,0029;
11.07.2022;16 595;0,0031;
18.07.2022;14 780;0,0029;
25.07.2022;15 826;0,0032;
01.08.2022;18 330;0,0035;
08.08.2022;21 578;0,0039;
15.08.2022;25 891;0,0047;
22.08.2022;19 991;0,0038;
29.08.2022;22 510;0,0038;
05.09.2022;25 215;0,0039;
12.09.2022;25 637;0,0042;
19.09.2022;26 981;0,0043;
26.09.2022;26 698;0,0045;
03.10.2022;27 199;0,0046;
10.10.2022;26 370;0,0046;
17.10.2022;28 396;0,0045;
24.10.2022;29 913;0,0049;
31.10.2022;32 586;0,0055;
07.11.2022;38 896;0,0065;
14.11.2022;42 595;0,0068;
21.11.2022;50 019;0,0081;
28.11.2022;56 427;0,0091;
05.12.2022;59 432;0,0097;
12.12.2022;54 970;0,0091;
19.12.2022;48 038;0,0080;
26.12.2022;33 975;0,0069;
02.01.2023;29 893;0,0062;
09.01.2023;43 950;0,0077;
16.01.2023;35 294;0,0059;
23.01.2023;31 441;0,0053;
30.01.2023;33 704;0,0057;
06.02.2023;38 647;0,0065;
13.02.2023;37 357;0,0064;
20.02.2023;30 396;0,0056;
27.02.2023;31 072;0,0053;
06.03.2023;27 083;0,0048;
13.03.2023;28 548;0,0049;
20.03.2023;26 374;0,0045;
27.03.2023;27 280;0,0048;
03.04.2023;24 632;0,0045;
10.04.2023;23 598;0,0045;
17.04.2023;22 808;0,0042;
24.04.2023;23 498;0,0044;
01.05.2023;19 435;0,0038;
08.05.2023;20 429;0,0041;
15.05.2023;22 375;0,0042;
22.05.2023;22 224;0,0043;
29.05.2023;21 597;0,0042;
05.06.2023;21 006;0,0042;
12.06.2023;19 122;0,0041;
19.06.2023;19 017;0,0039;
26.06.2023;18 008;0,0038;
03.07.2023;15 934;0,0035;
10.07.2023;15 018;0,0032;
17.07.2023;14 959;0,0033;
24.07.2023;14 645;0,0031;
31.07.2023;14 630;0,0033;
07.08.2023;16 139;0,0035;
14.08.2023;16 178;0,0036;
21.08.2023;16 883;0,0037;
28.08.2023;18 762;0,0041;
04.09.2023;22 245;0,0045;
11.09.2023;28 940;0,0057;
18.09.2023;33 801;0,0064;
25.09.2023;36 790;0,0068;
02.10.2023;38 384;0,0070;
09.10.2023;41 971;0,0077;
16.10.2023;51 195;0,0092;
23.10.2023;55 748;0,0101;
30.10.2023;54 893;0,0104;
06.11.2023;60 925;0,0113;
13.11.2023;65 407;0,0119;
20.11.2023;69 544;0,0127;
27.11.2023;85 232;0,0152;
04.12.2023;158 724;0,0284;
11.12.2023;168 184;0,0308;
18.12.2023;163 731;0,0299;
25.12.2023;90 128;0,0184;
01.01.2024;54 964;0,0118;
08.01.2024;62 642;0,0113;
15.01.2024;61 611;0,0104;
22.01.2024;59 253;0,0100;
29.01.2024;57 975;0,0102;
05.02.2024;55 042;0,0101;
12.02.2024;51 126;0,0096;
19.02.2024;45 998;0,0091;
26.02.2024;49 875;0,0084;
04.03.2024;42 543;0,0075;
11.03.2024;40 499;0,0078;
18.03.2024;38 979;0,0074;
25.03.2024;36 964;0,0072;
01.04.2024;35 764;0,0069;
08.04.2024;33 759;0,0067;
15.04.2024;31 948;0,0060;
22.04.2024;30 823;0,0059;
29.04.2024;26 355;0,0058;
06.05.2024;27 127;0,0055;
13.05.2024;28 839;0,0056;
20.05.2024;27 242;0,0056;
27.05.2024;26 906;0,0057;
03.06.2024;25 086;0,0054;
10.06.2024;22 880;0,0050;
17.06.2024;22 694;0,0050;
24.06.2024;21 233;0,0050;
01.07.2024;20 441;0,0048;
08.07.2024;20 552;0,0050;
15.07.2024;20 965;0,0050;
22.07.2024;20 675;0,0050;
29.07.2024;21 488;0,0051;
05.08.2024;22 454;0,0053;
12.08.2024;23 662;0,0057;
19.08.2024;25 282;0,0060;
26.08.2024;27 461;0,0063;
02.09.2024;29 665;0,0069;
09.09.2024;40 354;0,0086;
16.09.2024;44 578;0,0093;
23.09.2024;45 409;0,0092;
30.09.2024;46 850;0,0093;
07.10.2024;49 659;0,0097;
14.10.2024;60 200;0,0127;
21.10.2024;77 738;0,0149;
28.10.2024;70 948;0,0137;
04.11.2024;64 091;0,0118;
11.11.2024;71 548;0,0127;
18.11.2024;67 304;0,0128;
25.11.2024;100 526;0,0172;
02.12.2024;104 475;0,0190;
09.12.2024;75 185;0,0136;
16.12.2024;70 393;0,0123;
23.12.2024;63 541;0,0117;
30.12.2024;55 164;0,0134;
06.01.2025;57 696;0,0117;
13.01.2025;59 259;0,0106;
20.01.2025;55 921;0,0098;
27.01.2025;56 284;0,0097;
03.02.2025;57 203;0,0099;
10.02.2025;59 573;0,0105;
17.02.2025;62 567;0,0115;
24.02.2025;65 706;0,0119;
03.03.2025;67 565;0,0125;
10.03.2025;69 059;0,0123;
17.03.2025;66 212;0,0119;
24.03.2025;61 205;0,0112;
31.03.2025;95 082;0,0175;
