Неделя с;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «положительный тест ковид», по неделям, 28.02.2022 — 06.04.2025, Москва и область, все устройства
28.02.2022;982;0,000158;
07.03.2022;592;0,000097;
14.03.2022;498;0,000079;
21.03.2022;483;0,000076;
28.03.2022;519;0,000080;
04.04.2022;464;0,000075;
11.04.2022;436;0,000072;
18.04.2022;352;0,000057;
25.04.2022;298;0,000051;
02.05.2022;259;0,000048;
09.05.2022;297;0,000047;
16.05.2022;322;0,000052;
23.05.2022;389;0,000059;
30.05.2022;423;0,000072;
06.06.2022;362;0,000068;
13.06.2022;386;0,000069;
20.06.2022;406;0,000073;
27.06.2022;403;0,000074;
04.07.2022;551;0,000106;
11.07.2022;692;0,000133;
18.07.2022;1 199;0,000240;
25.07.2022;1 792;0,000364;
01.08.2022;2 559;0,000497;
08.08.2022;3 480;0,000637;
15.08.2022;3 009;0,000555;
22.08.2022;2 812;0,000537;
29.08.2022;2 221;0,000381;
05.09.2022;2 056;0,000323;
12.09.2022;2 299;0,000379;
19.09.2022;1 712;0,000276;
26.09.2022;1 004;0,000170;
03.10.2022;765;0,000131;
10.10.2022;543;0,000096;
17.10.2022;429;0,000069;
24.10.2022;358;0,000059;
31.10.2022;396;0,000067;
07.11.2022;420;0,000070;
14.11.2022;465;0,000074;
21.11.2022;582;0,000094;
28.11.2022;658;0,000107;
05.12.2022;678;0,000110;
12.12.2022;635;0,000105;
19.12.2022;619;0,000103;
26.12.2022;486;0,000099;
02.01.2023;301;0,000063;
09.01.2023;461;0,000081;
16.01.2023;512;0,000087;
23.01.2023;706;0,000120;
30.01.2023;702;0,000119;
06.02.2023;896;0,000152;
13.02.2023;827;0,000142;
20.02.2023;702;0,000130;
27.02.2023;718;0,000124;
06.03.2023;663;0,000118;
13.03.2023;642;0,000110;
20.03.2023;584;0,000101;
27.03.2023;493;0,000087;
03.04.2023;477;0,000088;
10.04.2023;340;0,000065;
17.04.2023;389;0,000072;
24.04.2023;356;0,000066;
01.05.2023;244;0,000048;
08.05.2023;171;0,000034;
15.05.2023;170;0,000032;
22.05.2023;181;0,000035;
29.05.2023;161;0,000031;
05.06.2023;134;0,000027;
12.06.2023;127;0,000027;
19.06.2023;97;0,000020;
26.06.2023;112;0,000024;
03.07.2023;84;0,000018;
10.07.2023;87;0,000019;
17.07.2023;75;0,000016;
24.07.2023;102;0,000022;
31.07.2023;84;0,000019;
07.08.2023;106;0,000023;
14.08.2023;89;0,000019;
21.08.2023;130;0,000028;
28.08.2023;137;0,000030;
04.09.2023;189;0,000039;
11.09.2023;247;0,000048;
18.09.2023;371;0,000070;
25.09.2023;396;0,000074;
02.10.2023;260;0,000047;
09.10.2023;205;0,000037;
16.10.2023;244;0,000043;
23.10.2023;245;0,000044;
30.10.2023;251;0,000047;
06.11.2023;308;0,000057;
13.11.2023;479;0,000087;
20.11.2023;609;0,000111;
27.11.2023;672;0,000119;
04.12.2023;858;0,000153;
11.12.2023;832;0,000152;
18.12.2023;634;0,000115;
25.12.2023;378;0,000077;
01.01.2024;206;0,000044;
08.01.2024;257;0,000046;
15.01.2024;305;0,000051;
22.01.2024;288;0,000048;
29.01.2024;326;0,000057;
05.02.2024;300;0,000055;
12.02.2024;316;0,000059;
19.02.2024;295;0,000058;
26.02.2024;309;0,000052;
04.03.2024;194;0,000034;
11.03.2024;210;0,000040;
18.03.2024;204;0,000038;
25.03.2024;183;0,000035;
01.04.2024;187;0,000036;
08.04.2024;161;0,000032;
15.04.2024;142;0,000027;
22.04.2024;121;0,000023;
29.04.2024;71;0,000015;
06.05.2024;77;0,000015;
13.05.2024;115;0,000022;
20.05.2024;170;0,000035;
27.05.2024;132;0,000028;
03.06.2024;105;0,000022;
10.06.2024;93;0,000020;
17.06.2024;78;0,000017;
24.06.2024;66;0,000015;
01.07.2024;93;0,000022;
08.07.2024;68;0,000016;
15.07.2024;100;0,000024;
22.07.2024;91;0,000022;
29.07.2024;135;0,000032;
05.08.2024;141;0,000033;
12.08.2024;216;0,000052;
19.08.2024;269;0,000063;
26.08.2024;244;0,000056;
02.09.2024;266;0,000062;
09.09.2024;346;0,000074;
16.09.2024;376;0,000078;
23.09.2024;350;0,000071;
30.09.2024;258;0,000051;
07.10.2024;238;0,000046;
14.10.2024;214;0,000045;
21.10.2024;258;0,000049;
28.10.2024;208;0,000040;
04.11.2024;206;0,000038;
11.11.2024;231;0,000041;
18.11.2024;236;0,000044;
25.11.2024;211;0,000036;
02.12.2024;254;0,000046;
09.12.2024;248;0,000045;
16.12.2024;238;0,000041;
23.12.2024;234;0,000043;
30.12.2024;125;0,000030;
06.01.2025;119;0,000024;
13.01.2025;119;0,000021;
20.01.2025;123;0,000021;
27.01.2025;113;0,000019;
03.02.2025;103;0,000017;
10.02.2025;142;0,000025;
17.02.2025;148;0,000027;
24.02.2025;157;0,000028;
03.03.2025;124;0,000023;
10.03.2025;152;0,000027;
17.03.2025;179;0,000032;
24.03.2025;73;0,000013;
31.03.2025;121;0,000022;
