Неделя с;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «потеря вкуса», по неделям, 28.02.2022 — 06.04.2025, Москва и область, все устройства
28.02.2022;200;0,000032;
07.03.2022;176;0,000029;
14.03.2022;231;0,000036;
21.03.2022;238;0,000037;
28.03.2022;268;0,000041;
04.04.2022;195;0,000031;
11.04.2022;233;0,000038;
18.04.2022;234;0,000038;
25.04.2022;224;0,000038;
02.05.2022;184;0,000034;
09.05.2022;363;0,000057;
16.05.2022;244;0,000039;
23.05.2022;248;0,000037;
30.05.2022;279;0,000047;
06.06.2022;160;0,000030;
13.06.2022;193;0,000034;
20.06.2022;187;0,000034;
27.06.2022;184;0,000034;
04.07.2022;161;0,000031;
11.07.2022;254;0,000048;
18.07.2022;206;0,000041;
25.07.2022;250;0,000050;
01.08.2022;282;0,000054;
08.08.2022;337;0,000061;
15.08.2022;417;0,000077;
22.08.2022;344;0,000065;
29.08.2022;355;0,000061;
05.09.2022;294;0,000046;
12.09.2022;340;0,000056;
19.09.2022;296;0,000047;
26.09.2022;208;0,000035;
03.10.2022;208;0,000035;
10.10.2022;189;0,000033;
17.10.2022;195;0,000031;
24.10.2022;188;0,000031;
31.10.2022;163;0,000027;
07.11.2022;179;0,000029;
14.11.2022;252;0,000040;
21.11.2022;308;0,000049;
28.11.2022;322;0,000052;
05.12.2022;313;0,000051;
12.12.2022;336;0,000055;
19.12.2022;321;0,000053;
26.12.2022;217;0,000044;
02.01.2023;242;0,000050;
09.01.2023;251;0,000044;
16.01.2023;238;0,000040;
23.01.2023;259;0,000044;
30.01.2023;250;0,000042;
06.02.2023;239;0,000040;
13.02.2023;254;0,000043;
20.02.2023;199;0,000037;
27.02.2023;223;0,000038;
06.03.2023;210;0,000037;
13.03.2023;224;0,000038;
20.03.2023;208;0,000036;
27.03.2023;186;0,000033;
03.04.2023;194;0,000036;
10.04.2023;166;0,000031;
17.04.2023;177;0,000033;
24.04.2023;190;0,000035;
01.05.2023;160;0,000032;
08.05.2023;155;0,000031;
15.05.2023;165;0,000031;
22.05.2023;161;0,000031;
29.05.2023;188;0,000036;
05.06.2023;175;0,000035;
12.06.2023;153;0,000032;
19.06.2023;121;0,000025;
26.06.2023;153;0,000032;
03.07.2023;107;0,000023;
10.07.2023;152;0,000033;
17.07.2023;118;0,000026;
24.07.2023;102;0,000022;
31.07.2023;96;0,000022;
07.08.2023;166;0,000036;
14.08.2023;150;0,000033;
21.08.2023;144;0,000031;
28.08.2023;144;0,000031;
04.09.2023;149;0,000030;
11.09.2023;188;0,000037;
18.09.2023;243;0,000046;
25.09.2023;185;0,000034;
02.10.2023;179;0,000032;
09.10.2023;222;0,000040;
16.10.2023;188;0,000033;
23.10.2023;221;0,000040;
30.10.2023;253;0,000048;
06.11.2023;243;0,000045;
13.11.2023;212;0,000038;
20.11.2023;255;0,000046;
27.11.2023;334;0,000059;
04.12.2023;319;0,000057;
11.12.2023;336;0,000061;
18.12.2023;341;0,000062;
25.12.2023;276;0,000056;
01.01.2024;232;0,000049;
08.01.2024;192;0,000034;
15.01.2024;206;0,000035;
22.01.2024;234;0,000039;
29.01.2024;239;0,000042;
05.02.2024;238;0,000043;
12.02.2024;204;0,000038;
19.02.2024;250;0,000049;
26.02.2024;212;0,000035;
04.03.2024;220;0,000038;
11.03.2024;227;0,000043;
18.03.2024;196;0,000037;
25.03.2024;203;0,000039;
01.04.2024;191;0,000036;
08.04.2024;180;0,000036;
15.04.2024;166;0,000031;
22.04.2024;201;0,000038;
29.04.2024;220;0,000049;
06.05.2024;166;0,000033;
13.05.2024;247;0,000048;
20.05.2024;182;0,000037;
27.05.2024;150;0,000032;
03.06.2024;127;0,000027;
10.06.2024;133;0,000029;
17.06.2024;118;0,000026;
24.06.2024;111;0,000026;
01.07.2024;129;0,000030;
08.07.2024;98;0,000024;
15.07.2024;96;0,000023;
22.07.2024;144;0,000034;
29.07.2024;103;0,000024;
05.08.2024;165;0,000039;
12.08.2024;130;0,000031;
19.08.2024;116;0,000027;
26.08.2024;181;0,000041;
02.09.2024;149;0,000034;
09.09.2024;176;0,000037;
16.09.2024;157;0,000032;
23.09.2024;150;0,000030;
30.09.2024;137;0,000027;
07.10.2024;138;0,000027;
14.10.2024;129;0,000027;
21.10.2024;154;0,000029;
28.10.2024;127;0,000024;
04.11.2024;214;0,000039;
11.11.2024;166;0,000029;
18.11.2024;122;0,000023;
25.11.2024;183;0,000031;
02.12.2024;165;0,000030;
09.12.2024;179;0,000032;
16.12.2024;165;0,000028;
23.12.2024;177;0,000032;
30.12.2024;152;0,000036;
06.01.2025;188;0,000038;
13.01.2025;173;0,000031;
20.01.2025;147;0,000025;
27.01.2025;173;0,000030;
03.02.2025;153;0,000026;
10.02.2025;203;0,000035;
17.02.2025;221;0,000040;
24.02.2025;278;0,000050;
03.03.2025;268;0,000049;
10.03.2025;299;0,000053;
17.03.2025;283;0,000051;
24.03.2025;245;0,000044;
31.03.2025;235;0,000043;
