Неделя с;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «пропало обоняние», по неделям, 28.02.2022 — 06.04.2025, Москва и область, все устройства
28.02.2022;1 059;0,000170;
07.03.2022;956;0,000157;
14.03.2022;870;0,000138;
21.03.2022;1 045;0,000165;
28.03.2022;1 069;0,000166;
04.04.2022;891;0,000145;
11.04.2022;818;0,000135;
18.04.2022;1 035;0,000169;
25.04.2022;859;0,000149;
02.05.2022;871;0,000164;
09.05.2022;1 425;0,000226;
16.05.2022;703;0,000115;
23.05.2022;1 058;0,000161;
30.05.2022;1 309;0,000223;
06.06.2022;804;0,000151;
13.06.2022;899;0,000162;
20.06.2022;822;0,000149;
27.06.2022;710;0,000131;
04.07.2022;678;0,000130;
11.07.2022;1 012;0,000194;
18.07.2022;1 105;0,000221;
25.07.2022;1 220;0,000248;
01.08.2022;1 642;0,000319;
08.08.2022;2 306;0,000422;
15.08.2022;2 486;0,000459;
22.08.2022;1 917;0,000366;
29.08.2022;1 740;0,000299;
05.09.2022;1 772;0,000278;
12.09.2022;2 036;0,000336;
19.09.2022;1 583;0,000255;
26.09.2022;1 175;0,000199;
03.10.2022;974;0,000167;
10.10.2022;766;0,000135;
17.10.2022;890;0,000143;
24.10.2022;778;0,000129;
31.10.2022;915;0,000155;
07.11.2022;1 009;0,000168;
14.11.2022;1 147;0,000184;
21.11.2022;1 231;0,000199;
28.11.2022;1 351;0,000220;
05.12.2022;1 575;0,000257;
12.12.2022;1 619;0,000269;
19.12.2022;1 610;0,000270;
26.12.2022;1 470;0,000299;
02.01.2023;1 284;0,000269;
09.01.2023;1 229;0,000216;
16.01.2023;1 132;0,000192;
23.01.2023;1 191;0,000202;
30.01.2023;1 438;0,000245;
06.02.2023;1 523;0,000258;
13.02.2023;1 518;0,000262;
20.02.2023;1 406;0,000261;
27.02.2023;1 255;0,000217;
06.03.2023;1 158;0,000207;
13.03.2023;1 275;0,000219;
20.03.2023;1 106;0,000192;
27.03.2023;1 018;0,000180;
03.04.2023;913;0,000169;
10.04.2023;836;0,000159;
17.04.2023;770;0,000143;
24.04.2023;798;0,000150;
01.05.2023;679;0,000136;
08.05.2023;1 653;0,000336;
15.05.2023;693;0,000132;
22.05.2023;645;0,000124;
29.05.2023;615;0,000119;
05.06.2023;592;0,000120;
12.06.2023;548;0,000118;
19.06.2023;457;0,000095;
26.06.2023;361;0,000077;
03.07.2023;346;0,000076;
10.07.2023;358;0,000078;
17.07.2023;383;0,000085;
24.07.2023;381;0,000082;
31.07.2023;387;0,000089;
07.08.2023;391;0,000086;
14.08.2023;402;0,000090;
21.08.2023;470;0,000104;
28.08.2023;602;0,000133;
04.09.2023;729;0,000150;
11.09.2023;985;0,000195;
18.09.2023;1 090;0,000208;
25.09.2023;957;0,000179;
02.10.2023;891;0,000163;
09.10.2023;773;0,000141;
16.10.2023;772;0,000139;
23.10.2023;781;0,000142;
30.10.2023;810;0,000154;
06.11.2023;1 000;0,000186;
13.11.2023;894;0,000163;
20.11.2023;1 137;0,000208;
27.11.2023;1 569;0,000279;
04.12.2023;1 725;0,000309;
11.12.2023;1 772;0,000325;
18.12.2023;1 701;0,000310;
25.12.2023;1 275;0,000261;
01.01.2024;1 082;0,000232;
08.01.2024;1 002;0,000181;
15.01.2024;852;0,000144;
22.01.2024;1 016;0,000171;
29.01.2024;1 198;0,000211;
05.02.2024;1 215;0,000224;
12.02.2024;1 254;0,000235;
19.02.2024;1 187;0,000236;
26.02.2024;1 260;0,000212;
04.03.2024;1 092;0,000192;
11.03.2024;1 038;0,000200;
18.03.2024;860;0,000163;
25.03.2024;812;0,000159;
01.04.2024;723;0,000139;
08.04.2024;605;0,000121;
15.04.2024;571;0,000108;
22.04.2024;661;0,000127;
29.04.2024;586;0,000130;
06.05.2024;557;0,000113;
13.05.2024;554;0,000108;
20.05.2024;593;0,000123;
27.05.2024;559;0,000119;
03.06.2024;447;0,000097;
10.06.2024;402;0,000089;
17.06.2024;339;0,000075;
24.06.2024;391;0,000092;
01.07.2024;332;0,000078;
08.07.2024;325;0,000079;
15.07.2024;326;0,000079;
22.07.2024;315;0,000076;
29.07.2024;408;0,000097;
05.08.2024;481;0,000114;
12.08.2024;505;0,000122;
19.08.2024;626;0,000148;
26.08.2024;675;0,000156;
02.09.2024;551;0,000128;
09.09.2024;708;0,000152;
16.09.2024;735;0,000154;
23.09.2024;792;0,000161;
30.09.2024;700;0,000139;
07.10.2024;661;0,000130;
14.10.2024;543;0,000114;
21.10.2024;559;0,000107;
28.10.2024;690;0,000134;
04.11.2024;690;0,000127;
11.11.2024;683;0,000121;
18.11.2024;541;0,000102;
25.11.2024;657;0,000112;
02.12.2024;618;0,000112;
09.12.2024;653;0,000118;
16.12.2024;682;0,000119;
23.12.2024;678;0,000125;
30.12.2024;645;0,000156;
06.01.2025;612;0,000124;
13.01.2025;470;0,000084;
20.01.2025;448;0,000078;
27.01.2025;559;0,000097;
03.02.2025;715;0,000124;
10.02.2025;743;0,000131;
17.02.2025;971;0,000178;
24.02.2025;1 019;0,000185;
03.03.2025;1 207;0,000224;
10.03.2025;1 188;0,000212;
17.03.2025;1 245;0,000225;
24.03.2025;1 024;0,000187;
31.03.2025;897;0,000165;
