Неделя с;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «пцр тест», по неделям, 28.02.2022 — 06.04.2025, Москва и область, все устройства
28.02.2022;68 082;0,01096;
07.03.2022;41 848;0,00691;
14.03.2022;40 909;0,00650;
21.03.2022;36 308;0,00574;
28.03.2022;38 244;0,00594;
04.04.2022;40 967;0,00670;
11.04.2022;47 713;0,00788;
18.04.2022;41 782;0,00685;
25.04.2022;38 715;0,00672;
02.05.2022;35 783;0,00675;
09.05.2022;42 324;0,00671;
16.05.2022;45 992;0,00752;
23.05.2022;49 870;0,00761;
30.05.2022;51 860;0,00887;
06.06.2022;39 805;0,00748;
13.06.2022;39 783;0,00720;
20.06.2022;36 767;0,00669;
27.06.2022;35 917;0,00666;
04.07.2022;38 139;0,00736;
11.07.2022;38 366;0,00738;
18.07.2022;39 312;0,00787;
25.07.2022;43 784;0,00890;
01.08.2022;50 482;0,00982;
08.08.2022;55 109;0,01009;
15.08.2022;55 493;0,01025;
22.08.2022;54 573;0,01043;
29.08.2022;52 228;0,00897;
05.09.2022;48 428;0,00762;
12.09.2022;47 437;0,00783;
19.09.2022;48 485;0,00782;
26.09.2022;38 667;0,00656;
03.10.2022;34 416;0,00591;
10.10.2022;32 934;0,00583;
17.10.2022;32 989;0,00533;
24.10.2022;22 576;0,00374;
31.10.2022;20 352;0,00345;
07.11.2022;19 985;0,00334;
14.11.2022;18 505;0,00297;
21.11.2022;17 501;0,00283;
28.11.2022;16 686;0,00271;
05.12.2022;15 160;0,00248;
12.12.2022;13 676;0,00227;
19.12.2022;10 841;0,00181;
26.12.2022;7 623;0,00155;
02.01.2023;8 670;0,00182;
09.01.2023;12 164;0,00214;
16.01.2023;12 544;0,00213;
23.01.2023;12 158;0,00206;
30.01.2023;12 245;0,00208;
06.02.2023;12 639;0,00214;
13.02.2023;12 998;0,00224;
20.02.2023;10 474;0,00195;
27.02.2023;12 334;0,00213;
06.03.2023;11 083;0,00198;
13.03.2023;11 576;0,00198;
20.03.2023;11 100;0,00193;
27.03.2023;10 320;0,00183;
03.04.2023;10 336;0,00192;
10.04.2023;10 281;0,00196;
17.04.2023;9 790;0,00182;
24.04.2023;8 648;0,00162;
01.05.2023;7 660;0,00153;
08.05.2023;7 667;0,00155;
15.05.2023;7 845;0,00150;
22.05.2023;8 608;0,00166;
29.05.2023;8 515;0,00165;
05.06.2023;8 252;0,00167;
12.06.2023;7 720;0,00166;
19.06.2023;6 873;0,00144;
26.06.2023;6 014;0,00129;
03.07.2023;5 430;0,00120;
10.07.2023;5 325;0,00116;
17.07.2023;4 890;0,00109;
24.07.2023;4 667;0,00101;
31.07.2023;4 032;0,00092;
07.08.2023;3 953;0,00087;
14.08.2023;3 773;0,00084;
21.08.2023;4 182;0,00092;
28.08.2023;3 626;0,00080;
04.09.2023;4 151;0,00085;
11.09.2023;4 260;0,00084;
18.09.2023;4 534;0,00086;
25.09.2023;4 799;0,00089;
02.10.2023;4 809;0,00088;
09.10.2023;4 739;0,00087;
16.10.2023;4 258;0,00076;
23.10.2023;4 016;0,00073;
30.10.2023;3 798;0,00072;
06.11.2023;4 238;0,00079;
13.11.2023;4 638;0,00084;
20.11.2023;4 722;0,00086;
27.11.2023;5 477;0,00097;
04.12.2023;5 491;0,00098;
11.12.2023;5 497;0,00100;
18.12.2023;4 679;0,00085;
25.12.2023;3 370;0,00069;
01.01.2024;1 998;0,00042;
08.01.2024;3 749;0,00067;
15.01.2024;4 535;0,00077;
22.01.2024;4 344;0,00073;
29.01.2024;4 638;0,00082;
05.02.2024;4 693;0,00086;
12.02.2024;4 744;0,00089;
19.02.2024;4 262;0,00084;
26.02.2024;4 883;0,00082;
04.03.2024;3 816;0,00067;
11.03.2024;3 829;0,00073;
18.03.2024;3 728;0,00070;
25.03.2024;3 725;0,00073;
01.04.2024;3 456;0,00066;
08.04.2024;3 248;0,00065;
15.04.2024;3 639;0,00069;
22.04.2024;3 472;0,00066;
29.04.2024;2 741;0,00061;
06.05.2024;3 046;0,00062;
13.05.2024;3 776;0,00073;
20.05.2024;3 349;0,00069;
27.05.2024;3 452;0,00073;
03.06.2024;2 902;0,00063;
10.06.2024;2 109;0,00046;
17.06.2024;2 261;0,00050;
24.06.2024;1 933;0,00045;
01.07.2024;1 595;0,00037;
08.07.2024;1 739;0,00042;
15.07.2024;1 590;0,00038;
22.07.2024;1 531;0,00037;
29.07.2024;1 525;0,00036;
05.08.2024;1 682;0,00040;
12.08.2024;1 918;0,00046;
19.08.2024;2 311;0,00054;
26.08.2024;2 657;0,00061;
02.09.2024;2 376;0,00055;
09.09.2024;2 948;0,00063;
16.09.2024;3 049;0,00063;
23.09.2024;3 628;0,00073;
30.09.2024;2 768;0,00055;
07.10.2024;2 797;0,00055;
14.10.2024;2 581;0,00054;
21.10.2024;3 044;0,00058;
28.10.2024;3 030;0,00058;
04.11.2024;3 019;0,00055;
11.11.2024;3 283;0,00058;
18.11.2024;2 916;0,00055;
25.11.2024;3 372;0,00057;
02.12.2024;3 267;0,00059;
09.12.2024;3 121;0,00056;
16.12.2024;3 054;0,00053;
23.12.2024;2 278;0,00042;
30.12.2024;1 102;0,00026;
06.01.2025;2 141;0,00043;
13.01.2025;2 847;0,00051;
20.01.2025;3 022;0,00053;
27.01.2025;3 178;0,00055;
03.02.2025;2 973;0,00051;
10.02.2025;2 922;0,00051;
17.02.2025;2 835;0,00052;
24.02.2025;2 733;0,00049;
03.03.2025;2 762;0,00051;
10.03.2025;3 117;0,00055;
17.03.2025;3 364;0,00060;
24.03.2025;2 757;0,00050;
31.03.2025;2 518;0,00046;
