Неделя с;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «сатурация», по неделям, 28.02.2022 — 06.04.2025, Москва и область, все устройства
28.02.2022;11 268;0,00181;
07.03.2022;10 381;0,00171;
14.03.2022;7 095;0,00112;
21.03.2022;7 070;0,00111;
28.03.2022;7 165;0,00111;
04.04.2022;6 521;0,00106;
11.04.2022;5 878;0,00097;
18.04.2022;5 853;0,00095;
25.04.2022;5 409;0,00093;
02.05.2022;5 069;0,00095;
09.05.2022;7 832;0,00124;
16.05.2022;4 954;0,00081;
23.05.2022;5 249;0,00080;
30.05.2022;5 494;0,00093;
06.06.2022;4 480;0,00084;
13.06.2022;5 114;0,00092;
20.06.2022;5 065;0,00092;
27.06.2022;3 959;0,00073;
04.07.2022;4 520;0,00087;
11.07.2022;4 560;0,00087;
18.07.2022;5 414;0,00108;
25.07.2022;6 653;0,00135;
01.08.2022;8 259;0,00160;
08.08.2022;10 182;0,00186;
15.08.2022;11 713;0,00216;
22.08.2022;10 420;0,00199;
29.08.2022;8 893;0,00152;
05.09.2022;8 603;0,00135;
12.09.2022;8 927;0,00147;
19.09.2022;8 264;0,00133;
26.09.2022;6 983;0,00118;
03.10.2022;6 418;0,00110;
10.10.2022;5 437;0,00096;
17.10.2022;5 808;0,00093;
24.10.2022;5 791;0,00096;
31.10.2022;6 197;0,00105;
07.11.2022;7 001;0,00117;
14.11.2022;7 913;0,00127;
21.11.2022;9 713;0,00157;
28.11.2022;10 503;0,00171;
05.12.2022;11 835;0,00193;
12.12.2022;10 129;0,00168;
19.12.2022;8 051;0,00135;
26.12.2022;6 112;0,00124;
02.01.2023;5 831;0,00122;
09.01.2023;7 890;0,00138;
16.01.2023;6 581;0,00111;
23.01.2023;6 446;0,00109;
30.01.2023;7 360;0,00125;
06.02.2023;6 972;0,00118;
13.02.2023;7 590;0,00131;
20.02.2023;6 581;0,00122;
27.02.2023;6 964;0,00120;
06.03.2023;6 437;0,00115;
13.03.2023;5 943;0,00102;
20.03.2023;5 961;0,00103;
27.03.2023;5 574;0,00098;
03.04.2023;5 025;0,00093;
10.04.2023;4 685;0,00089;
17.04.2023;5 069;0,00094;
24.04.2023;4 768;0,00089;
01.05.2023;3 839;0,00076;
08.05.2023;3 601;0,00073;
15.05.2023;4 179;0,00080;
22.05.2023;4 271;0,00082;
29.05.2023;4 054;0,00079;
05.06.2023;3 679;0,00074;
12.06.2023;3 422;0,00073;
19.06.2023;3 660;0,00076;
26.06.2023;3 594;0,00077;
03.07.2023;3 264;0,00072;
10.07.2023;3 065;0,00067;
17.07.2023;3 346;0,00074;
24.07.2023;3 355;0,00072;
31.07.2023;3 320;0,00076;
07.08.2023;3 368;0,00074;
14.08.2023;3 142;0,00070;
21.08.2023;3 051;0,00067;
28.08.2023;3 396;0,00075;
04.09.2023;3 709;0,00076;
11.09.2023;4 158;0,00082;
18.09.2023;5 463;0,00104;
25.09.2023;5 808;0,00108;
02.10.2023;5 670;0,00104;
09.10.2023;6 065;0,00111;
16.10.2023;5 795;0,00104;
23.10.2023;5 892;0,00107;
30.10.2023;6 552;0,00125;
06.11.2023;7 189;0,00134;
13.11.2023;7 437;0,00136;
20.11.2023;7 575;0,00139;
27.11.2023;9 044;0,00161;
04.12.2023;9 656;0,00173;
11.12.2023;11 398;0,00209;
18.12.2023;13 072;0,00238;
25.12.2023;9 506;0,00195;
01.01.2024;7 156;0,00153;
08.01.2024;7 818;0,00141;
15.01.2024;7 583;0,00128;
22.01.2024;7 518;0,00127;
29.01.2024;7 417;0,00131;
05.02.2024;7 753;0,00143;
12.02.2024;6 955;0,00130;
19.02.2024;6 164;0,00122;
26.02.2024;6 839;0,00115;
04.03.2024;7 298;0,00128;
11.03.2024;6 067;0,00116;
18.03.2024;5 798;0,00110;
25.03.2024;5 627;0,00110;
01.04.2024;6 251;0,00120;
08.04.2024;6 087;0,00122;
15.04.2024;5 721;0,00108;
22.04.2024;5 089;0,00097;
29.04.2024;3 895;0,00086;
06.05.2024;4 299;0,00087;
13.05.2024;4 659;0,00091;
20.05.2024;4 382;0,00090;
27.05.2024;4 272;0,00091;
03.06.2024;4 127;0,00089;
10.06.2024;4 284;0,00094;
17.06.2024;3 881;0,00086;
24.06.2024;3 694;0,00087;
01.07.2024;3 444;0,00081;
08.07.2024;3 635;0,00089;
15.07.2024;3 817;0,00092;
22.07.2024;3 532;0,00085;
29.07.2024;3 717;0,00089;
05.08.2024;3 619;0,00086;
12.08.2024;4 003;0,00097;
19.08.2024;4 494;0,00106;
26.08.2024;4 584;0,00106;
02.09.2024;4 214;0,00098;
09.09.2024;5 172;0,00111;
16.09.2024;5 239;0,00109;
23.09.2024;5 746;0,00117;
30.09.2024;5 659;0,00112;
07.10.2024;6 325;0,00124;
14.10.2024;5 344;0,00113;
21.10.2024;6 409;0,00123;
28.10.2024;6 650;0,00129;
04.11.2024;6 243;0,00115;
11.11.2024;6 680;0,00119;
18.11.2024;8 027;0,00152;
25.11.2024;7 802;0,00134;
02.12.2024;7 273;0,00132;
09.12.2024;6 959;0,00126;
16.12.2024;8 173;0,00143;
23.12.2024;6 945;0,00128;
30.12.2024;6 407;0,00155;
06.01.2025;7 517;0,00153;
13.01.2025;7 085;0,00127;
20.01.2025;7 128;0,00125;
27.01.2025;7 688;0,00133;
03.02.2025;7 227;0,00125;
10.02.2025;7 712;0,00135;
17.02.2025;8 086;0,00148;
24.02.2025;8 831;0,00161;
03.03.2025;8 779;0,00162;
10.03.2025;8 837;0,00158;
17.03.2025;8 131;0,00147;
24.03.2025;7 524;0,00137;
31.03.2025;7 447;0,00137;
