Неделя с;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «симптомы ковида», по неделям, 28.02.2022 — 06.04.2025, Москва и область, все устройства
28.02.2022;1 621;0,00026;
07.03.2022;1 498;0,00024;
14.03.2022;1 467;0,00023;
21.03.2022;1 569;0,00024;
28.03.2022;1 906;0,00029;
04.04.2022;1 704;0,00027;
11.04.2022;1 761;0,00029;
18.04.2022;1 791;0,00029;
25.04.2022;1 840;0,00031;
02.05.2022;1 702;0,00032;
09.05.2022;2 570;0,00040;
16.05.2022;1 502;0,00024;
23.05.2022;1 506;0,00022;
30.05.2022;1 579;0,00027;
06.06.2022;1 584;0,00029;
13.06.2022;1 739;0,00031;
20.06.2022;1 845;0,00033;
27.06.2022;1 433;0,00026;
04.07.2022;1 905;0,00036;
11.07.2022;2 972;0,00057;
18.07.2022;7 573;0,00151;
25.07.2022;9 067;0,00184;
01.08.2022;12 188;0,00237;
08.08.2022;13 855;0,00253;
15.08.2022;15 963;0,00294;
22.08.2022;14 306;0,00273;
29.08.2022;11 283;0,00193;
05.09.2022;9 942;0,00156;
12.09.2022;10 251;0,00169;
19.09.2022;6 872;0,00110;
26.09.2022;4 458;0,00075;
03.10.2022;3 380;0,00058;
10.10.2022;2 978;0,00052;
17.10.2022;2 720;0,00043;
24.10.2022;4 457;0,00073;
31.10.2022;3 075;0,00052;
07.11.2022;3 601;0,00060;
14.11.2022;4 795;0,00077;
21.11.2022;5 139;0,00083;
28.11.2022;4 557;0,00074;
05.12.2022;3 427;0,00056;
12.12.2022;2 756;0,00045;
19.12.2022;2 484;0,00041;
26.12.2022;2 152;0,00043;
02.01.2023;2 996;0,00062;
09.01.2023;4 144;0,00072;
16.01.2023;3 049;0,00051;
23.01.2023;3 036;0,00051;
30.01.2023;3 139;0,00053;
06.02.2023;3 844;0,00065;
13.02.2023;3 853;0,00066;
20.02.2023;3 308;0,00061;
27.02.2023;2 993;0,00051;
06.03.2023;2 782;0,00049;
13.03.2023;2 573;0,00044;
20.03.2023;2 455;0,00042;
27.03.2023;2 402;0,00042;
03.04.2023;2 151;0,00039;
10.04.2023;2 001;0,00038;
17.04.2023;3 937;0,00073;
24.04.2023;2 942;0,00055;
01.05.2023;2 045;0,00040;
08.05.2023;1 666;0,00033;
15.05.2023;1 787;0,00034;
22.05.2023;1 581;0,00030;
29.05.2023;1 421;0,00027;
05.06.2023;1 336;0,00027;
12.06.2023;1 281;0,00027;
19.06.2023;1 027;0,00021;
26.06.2023;918;0,00019;
03.07.2023;863;0,00019;
10.07.2023;818;0,00017;
17.07.2023;727;0,00016;
24.07.2023;754;0,00016;
31.07.2023;818;0,00018;
07.08.2023;1 662;0,00036;
14.08.2023;1 652;0,00036;
21.08.2023;1 869;0,00041;
28.08.2023;2 192;0,00048;
04.09.2023;3 619;0,00074;
11.09.2023;4 767;0,00094;
18.09.2023;14 878;0,00284;
25.09.2023;7 887;0,00147;
02.10.2023;5 342;0,00098;
09.10.2023;4 093;0,00075;
16.10.2023;3 642;0,00065;
23.10.2023;4 154;0,00075;
30.10.2023;4 339;0,00082;
06.11.2023;6 507;0,00121;
13.11.2023;6 396;0,00117;
20.11.2023;6 825;0,00125;
27.11.2023;8 134;0,00145;
04.12.2023;8 978;0,00160;
11.12.2023;9 011;0,00165;
18.12.2023;7 511;0,00137;
25.12.2023;4 776;0,00098;
01.01.2024;3 113;0,00066;
08.01.2024;2 700;0,00048;
15.01.2024;2 273;0,00038;
22.01.2024;2 363;0,00039;
29.01.2024;2 455;0,00043;
05.02.2024;2 373;0,00043;
12.02.2024;2 518;0,00047;
19.02.2024;2 424;0,00048;
26.02.2024;2 385;0,00040;
04.03.2024;2 113;0,00037;
11.03.2024;2 051;0,00039;
18.03.2024;2 968;0,00056;
25.03.2024;2 200;0,00043;
01.04.2024;1 888;0,00036;
08.04.2024;1 494;0,00030;
15.04.2024;1 421;0,00027;
22.04.2024;1 733;0,00033;
29.04.2024;1 559;0,00034;
06.05.2024;1 420;0,00028;
13.05.2024;1 463;0,00028;
20.05.2024;4 239;0,00087;
27.05.2024;3 491;0,00074;
03.06.2024;2 186;0,00047;
10.06.2024;1 838;0,00040;
17.06.2024;1 379;0,00030;
24.06.2024;1 182;0,00027;
01.07.2024;940;0,00022;
08.07.2024;1 049;0,00025;
15.07.2024;1 105;0,00026;
22.07.2024;1 446;0,00035;
29.07.2024;1 575;0,00037;
05.08.2024;4 548;0,00108;
12.08.2024;6 140;0,00149;
19.08.2024;7 638;0,00181;
26.08.2024;7 497;0,00173;
02.09.2024;7 189;0,00167;
09.09.2024;8 484;0,00182;
16.09.2024;8 861;0,00185;
23.09.2024;8 764;0,00178;
30.09.2024;6 676;0,00132;
07.10.2024;5 280;0,00103;
14.10.2024;3 269;0,00069;
21.10.2024;3 611;0,00069;
28.10.2024;3 432;0,00066;
04.11.2024;2 961;0,00054;
11.11.2024;2 892;0,00051;
18.11.2024;3 185;0,00060;
25.11.2024;3 258;0,00056;
02.12.2024;3 012;0,00054;
09.12.2024;2 849;0,00051;
16.12.2024;3 570;0,00062;
23.12.2024;3 675;0,00067;
30.12.2024;2 451;0,00059;
06.01.2025;2 110;0,00042;
13.01.2025;1 705;0,00030;
20.01.2025;1 786;0,00031;
27.01.2025;1 815;0,00031;
03.02.2025;1 694;0,00029;
10.02.2025;1 720;0,00030;
17.02.2025;2 090;0,00038;
24.02.2025;1 785;0,00032;
03.03.2025;1 920;0,00035;
10.03.2025;1 906;0,00034;
17.03.2025;2 006;0,00036;
24.03.2025;1 415;0,00025;
31.03.2025;1 029;0,00019;
