Неделя с;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «сухой кашель», по неделям, 28.02.2022 — 06.04.2025, Москва и область, все устройства
28.02.2022;17 303;0,0027;
07.03.2022;16 232;0,0026;
14.03.2022;16 895;0,0026;
21.03.2022;18 120;0,0028;
28.03.2022;19 262;0,0029;
04.04.2022;19 809;0,0032;
11.04.2022;19 570;0,0032;
18.04.2022;19 210;0,0031;
25.04.2022;18 708;0,0032;
02.05.2022;18 820;0,0035;
09.05.2022;22 650;0,0035;
16.05.2022;18 493;0,0030;
23.05.2022;20 670;0,0031;
30.05.2022;19 323;0,0033;
06.06.2022;17 439;0,0032;
13.06.2022;16 360;0,0029;
20.06.2022;13 666;0,0024;
27.06.2022;12 628;0,0023;
04.07.2022;11 635;0,0022;
11.07.2022;11 321;0,0021;
18.07.2022;12 482;0,0025;
25.07.2022;13 372;0,0027;
01.08.2022;16 177;0,0031;
08.08.2022;18 742;0,0034;
15.08.2022;20 791;0,0038;
22.08.2022;20 104;0,0038;
29.08.2022;20 672;0,0035;
05.09.2022;24 482;0,0038;
12.09.2022;34 548;0,0057;
19.09.2022;35 647;0,0057;
26.09.2022;32 236;0,0054;
03.10.2022;31 637;0,0054;
10.10.2022;31 823;0,0056;
17.10.2022;34 338;0,0055;
24.10.2022;36 850;0,0061;
31.10.2022;42 935;0,0072;
07.11.2022;43 862;0,0073;
14.11.2022;48 600;0,0078;
21.11.2022;60 009;0,0097;
28.11.2022;67 448;0,0109;
05.12.2022;73 233;0,0119;
12.12.2022;60 378;0,0100;
19.12.2022;48 611;0,0081;
26.12.2022;33 335;0,0067;
02.01.2023;30 384;0,0063;
09.01.2023;25 330;0,0044;
16.01.2023;24 173;0,0041;
23.01.2023;25 395;0,0043;
30.01.2023;26 038;0,0044;
06.02.2023;26 171;0,0044;
13.02.2023;26 062;0,0045;
20.02.2023;24 128;0,0044;
27.02.2023;21 829;0,0037;
06.03.2023;19 917;0,0035;
13.03.2023;19 977;0,0034;
20.03.2023;19 434;0,0033;
27.03.2023;18 561;0,0032;
03.04.2023;17 640;0,0032;
10.04.2023;16 634;0,0031;
17.04.2023;17 338;0,0032;
24.04.2023;21 031;0,0039;
01.05.2023;18 108;0,0036;
08.05.2023;16 836;0,0034;
15.05.2023;17 372;0,0033;
22.05.2023;17 301;0,0033;
29.05.2023;16 789;0,0032;
05.06.2023;15 550;0,0031;
12.06.2023;13 210;0,0028;
19.06.2023;12 147;0,0025;
26.06.2023;11 300;0,0024;
03.07.2023;9 345;0,0020;
10.07.2023;10 485;0,0022;
17.07.2023;9 802;0,0021;
24.07.2023;9 915;0,0021;
31.07.2023;9 460;0,0021;
07.08.2023;10 465;0,0023;
14.08.2023;10 790;0,0024;
21.08.2023;11 848;0,0026;
28.08.2023;13 726;0,0030;
04.09.2023;18 534;0,0038;
11.09.2023;26 457;0,0052;
18.09.2023;30 404;0,0058;
25.09.2023;31 528;0,0059;
02.10.2023;31 237;0,0057;
09.10.2023;30 265;0,0055;
16.10.2023;29 688;0,0053;
23.10.2023;30 022;0,0054;
30.10.2023;30 067;0,0057;
06.11.2023;30 215;0,0056;
13.11.2023;30 362;0,0055;
20.11.2023;33 384;0,0061;
27.11.2023;40 990;0,0073;
04.12.2023;50 938;0,0091;
11.12.2023;60 686;0,0111;
18.12.2023;55 720;0,0101;
25.12.2023;39 200;0,0080;
01.01.2024;31 654;0,0068;
08.01.2024;26 594;0,0048;
15.01.2024;25 751;0,0043;
22.01.2024;26 444;0,0044;
29.01.2024;27 078;0,0047;
05.02.2024;25 304;0,0046;
12.02.2024;25 005;0,0046;
19.02.2024;23 046;0,0045;
26.02.2024;23 190;0,0039;
04.03.2024;20 164;0,0035;
11.03.2024;20 689;0,0039;
18.03.2024;19 557;0,0037;
25.03.2024;18 022;0,0035;
01.04.2024;17 230;0,0033;
08.04.2024;15 801;0,0031;
15.04.2024;15 376;0,0029;
22.04.2024;14 888;0,0028;
29.04.2024;13 977;0,0031;
06.05.2024;13 758;0,0028;
13.05.2024;13 119;0,0025;
20.05.2024;12 922;0,0026;
27.05.2024;12 428;0,0026;
03.06.2024;11 360;0,0024;
10.06.2024;9 832;0,0021;
17.06.2024;9 194;0,0020;
24.06.2024;8 364;0,0019;
01.07.2024;7 532;0,0017;
08.07.2024;7 446;0,0018;
15.07.2024;7 515;0,0018;
22.07.2024;8 272;0,0020;
29.07.2024;9 435;0,0022;
05.08.2024;10 151;0,0024;
12.08.2024;11 443;0,0027;
19.08.2024;12 202;0,0028;
26.08.2024;13 317;0,0030;
02.09.2024;14 026;0,0032;
09.09.2024;19 285;0,0041;
16.09.2024;22 658;0,0047;
23.09.2024;23 602;0,0048;
30.09.2024;24 344;0,0048;
07.10.2024;24 741;0,0048;
14.10.2024;21 813;0,0046;
21.10.2024;25 167;0,0048;
28.10.2024;24 202;0,0047;
04.11.2024;24 246;0,0044;
11.11.2024;23 963;0,0042;
18.11.2024;22 181;0,0042;
25.11.2024;24 298;0,0041;
02.12.2024;24 010;0,0043;
09.12.2024;24 688;0,0044;
16.12.2024;25 903;0,0045;
23.12.2024;26 532;0,0049;
30.12.2024;22 989;0,0055;
06.01.2025;21 440;0,0043;
13.01.2025;18 871;0,0033;
20.01.2025;19 430;0,0034;
27.01.2025;22 488;0,0039;
03.02.2025;23 478;0,0040;
10.02.2025;26 889;0,0047;
17.02.2025;29 899;0,0054;
24.02.2025;31 705;0,0057;
03.03.2025;34 066;0,0063;
10.03.2025;33 639;0,0060;
17.03.2025;29 590;0,0053;
24.03.2025;27 560;0,0050;
31.03.2025;27 064;0,0050;
