Неделя с;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «температура 39», по неделям, 28.02.2022 — 06.04.2025, Москва и область, все устройства
28.02.2022;4 634;0,00074;
07.03.2022;4 571;0,00075;
14.03.2022;4 942;0,00078;
21.03.2022;5 382;0,00085;
28.03.2022;5 505;0,00085;
04.04.2022;5 633;0,00092;
11.04.2022;5 172;0,00085;
18.04.2022;5 574;0,00091;
25.04.2022;5 680;0,00098;
02.05.2022;5 233;0,00098;
09.05.2022;6 651;0,00105;
16.05.2022;5 136;0,00084;
23.05.2022;5 429;0,00082;
30.05.2022;5 551;0,00094;
06.06.2022;5 294;0,00099;
13.06.2022;4 898;0,00088;
20.06.2022;4 842;0,00088;
27.06.2022;4 893;0,00090;
04.07.2022;5 066;0,00097;
11.07.2022;5 690;0,00109;
18.07.2022;6 369;0,00127;
25.07.2022;8 116;0,00165;
01.08.2022;10 210;0,00198;
08.08.2022;11 270;0,00206;
15.08.2022;12 141;0,00224;
22.08.2022;10 799;0,00206;
29.08.2022;9 422;0,00161;
05.09.2022;9 786;0,00154;
12.09.2022;9 382;0,00154;
19.09.2022;7 606;0,00122;
26.09.2022;6 231;0,00105;
03.10.2022;5 875;0,00101;
10.10.2022;5 727;0,00101;
17.10.2022;6 419;0,00103;
24.10.2022;6 936;0,00115;
31.10.2022;8 599;0,00146;
07.11.2022;11 625;0,00194;
14.11.2022;16 545;0,00265;
21.11.2022;21 989;0,00356;
28.11.2022;25 899;0,00422;
05.12.2022;25 216;0,00412;
12.12.2022;17 441;0,00290;
19.12.2022;12 140;0,00203;
26.12.2022;8 547;0,00174;
02.01.2023;7 191;0,00151;
09.01.2023;5 957;0,00104;
16.01.2023;6 893;0,00117;
23.01.2023;7 340;0,00124;
30.01.2023;7 436;0,00126;
06.02.2023;7 095;0,00120;
13.02.2023;6 925;0,00119;
20.02.2023;6 782;0,00126;
27.02.2023;5 947;0,00102;
06.03.2023;6 107;0,00109;
13.03.2023;5 814;0,00099;
20.03.2023;5 899;0,00102;
27.03.2023;5 663;0,00100;
03.04.2023;5 309;0,00098;
10.04.2023;5 128;0,00098;
17.04.2023;5 285;0,00098;
24.04.2023;4 906;0,00092;
01.05.2023;4 636;0,00092;
08.05.2023;4 506;0,00091;
15.05.2023;4 591;0,00088;
22.05.2023;4 501;0,00087;
29.05.2023;4 272;0,00083;
05.06.2023;4 118;0,00083;
12.06.2023;4 074;0,00087;
19.06.2023;4 278;0,00089;
26.06.2023;4 079;0,00087;
03.07.2023;3 716;0,00082;
10.07.2023;3 414;0,00074;
17.07.2023;3 528;0,00078;
24.07.2023;3 529;0,00076;
31.07.2023;3 895;0,00089;
07.08.2023;4 534;0,00100;
14.08.2023;4 280;0,00095;
21.08.2023;3 954;0,00087;
28.08.2023;3 873;0,00085;
04.09.2023;4 288;0,00088;
11.09.2023;4 331;0,00085;
18.09.2023;4 726;0,00090;
25.09.2023;5 091;0,00095;
02.10.2023;5 177;0,00095;
09.10.2023;5 274;0,00096;
16.10.2023;5 817;0,00104;
23.10.2023;6 018;0,00109;
30.10.2023;5 965;0,00114;
06.11.2023;6 403;0,00119;
13.11.2023;7 003;0,00128;
20.11.2023;9 447;0,00173;
27.11.2023;14 830;0,00264;
04.12.2023;20 792;0,00372;
11.12.2023;25 242;0,00463;
18.12.2023;20 476;0,00374;
25.12.2023;12 968;0,00266;
01.01.2024;8 692;0,00186;
08.01.2024;6 379;0,00115;
15.01.2024;6 113;0,00103;
22.01.2024;6 084;0,00102;
29.01.2024;5 667;0,00100;
05.02.2024;5 458;0,00100;
12.02.2024;5 325;0,00100;
19.02.2024;4 638;0,00092;
26.02.2024;4 728;0,00079;
04.03.2024;4 665;0,00082;
11.03.2024;4 636;0,00089;
18.03.2024;4 550;0,00086;
25.03.2024;4 638;0,00090;
01.04.2024;4 608;0,00088;
08.04.2024;4 330;0,00087;
15.04.2024;4 215;0,00080;
22.04.2024;4 190;0,00080;
29.04.2024;3 751;0,00083;
06.05.2024;3 645;0,00074;
13.05.2024;3 844;0,00075;
20.05.2024;3 801;0,00078;
27.05.2024;4 061;0,00086;
03.06.2024;3 914;0,00085;
10.06.2024;3 748;0,00083;
17.06.2024;3 649;0,00081;
24.06.2024;3 414;0,00080;
01.07.2024;3 690;0,00087;
08.07.2024;3 773;0,00092;
15.07.2024;3 985;0,00096;
22.07.2024;3 900;0,00094;
29.07.2024;3 885;0,00093;
05.08.2024;3 882;0,00092;
12.08.2024;3 487;0,00084;
19.08.2024;3 690;0,00087;
26.08.2024;4 019;0,00093;
02.09.2024;3 873;0,00090;
09.09.2024;4 288;0,00092;
16.09.2024;4 360;0,00091;
23.09.2024;4 346;0,00088;
30.09.2024;4 073;0,00080;
07.10.2024;4 359;0,00085;
14.10.2024;4 136;0,00087;
21.10.2024;4 880;0,00094;
28.10.2024;4 599;0,00089;
04.11.2024;4 790;0,00088;
11.11.2024;5 301;0,00094;
18.11.2024;5 288;0,00100;
25.11.2024;5 935;0,00102;
02.12.2024;5 285;0,00096;
09.12.2024;6 059;0,00110;
16.12.2024;6 925;0,00121;
23.12.2024;7 643;0,00141;
30.12.2024;6 491;0,00157;
06.01.2025;5 298;0,00107;
13.01.2025;5 897;0,00105;
20.01.2025;7 034;0,00123;
27.01.2025;7 469;0,00129;
03.02.2025;7 478;0,00130;
10.02.2025;8 901;0,00156;
17.02.2025;9 719;0,00178;
24.02.2025;10 792;0,00196;
03.03.2025;12 211;0,00226;
10.03.2025;11 184;0,00200;
17.03.2025;8 648;0,00156;
24.03.2025;8 096;0,00148;
31.03.2025;7 092;0,00131;
