Неделя с;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «тест на ковид», по неделям, 28.02.2022 — 06.04.2025, Москва и область, все устройства
28.02.2022;19 278;0,00310;
07.03.2022;12 715;0,00209;
14.03.2022;11 338;0,00180;
21.03.2022;10 718;0,00169;
28.03.2022;11 834;0,00183;
04.04.2022;11 744;0,00192;
11.04.2022;12 211;0,00201;
18.04.2022;10 900;0,00178;
25.04.2022;9 533;0,00165;
02.05.2022;8 899;0,00167;
09.05.2022;9 915;0,00157;
16.05.2022;10 636;0,00174;
23.05.2022;11 166;0,00170;
30.05.2022;10 776;0,00184;
06.06.2022;9 834;0,00184;
13.06.2022;9 591;0,00173;
20.06.2022;9 477;0,00172;
27.06.2022;9 725;0,00180;
04.07.2022;11 080;0,00213;
11.07.2022;13 648;0,00262;
18.07.2022;18 460;0,00369;
25.07.2022;27 569;0,00560;
01.08.2022;41 248;0,00802;
08.08.2022;51 863;0,00950;
15.08.2022;56 489;0,01043;
22.08.2022;52 275;0,00999;
29.08.2022;42 099;0,00723;
05.09.2022;37 270;0,00586;
12.09.2022;39 970;0,00660;
19.09.2022;31 108;0,00501;
26.09.2022;20 589;0,00349;
03.10.2022;15 418;0,00265;
10.10.2022;13 331;0,00236;
17.10.2022;12 154;0,00196;
24.10.2022;10 013;0,00166;
31.10.2022;9 952;0,00169;
07.11.2022;10 435;0,00174;
14.11.2022;11 362;0,00182;
21.11.2022;13 497;0,00218;
28.11.2022;13 822;0,00225;
05.12.2022;11 997;0,00196;
12.12.2022;9 848;0,00164;
19.12.2022;8 436;0,00141;
26.12.2022;6 422;0,00130;
02.01.2023;5 783;0,00121;
09.01.2023;7 738;0,00136;
16.01.2023;7 938;0,00134;
23.01.2023;8 836;0,00150;
30.01.2023;9 926;0,00169;
06.02.2023;11 171;0,00189;
13.02.2023;11 765;0,00203;
20.02.2023;9 759;0,00181;
27.02.2023;10 323;0,00178;
06.03.2023;9 023;0,00161;
13.03.2023;9 028;0,00155;
20.03.2023;8 742;0,00152;
27.03.2023;8 145;0,00144;
03.04.2023;7 562;0,00140;
10.04.2023;7 070;0,00135;
17.04.2023;7 063;0,00132;
24.04.2023;6 227;0,00117;
01.05.2023;5 047;0,00101;
08.05.2023;4 672;0,00095;
15.05.2023;4 852;0,00093;
22.05.2023;5 100;0,00098;
29.05.2023;5 148;0,00100;
05.06.2023;4 760;0,00096;
12.06.2023;4 308;0,00092;
19.06.2023;3 641;0,00076;
26.06.2023;3 291;0,00070;
03.07.2023;3 119;0,00069;
10.07.2023;2 873;0,00062;
17.07.2023;2 678;0,00059;
24.07.2023;2 727;0,00059;
31.07.2023;2 670;0,00061;
07.08.2023;2 634;0,00058;
14.08.2023;2 778;0,00062;
21.08.2023;2 921;0,00064;
28.08.2023;3 449;0,00076;
04.09.2023;4 166;0,00086;
11.09.2023;5 692;0,00112;
18.09.2023;9 315;0,00178;
25.09.2023;8 213;0,00153;
02.10.2023;6 196;0,00113;
09.10.2023;5 074;0,00093;
16.10.2023;4 435;0,00079;
23.10.2023;4 929;0,00090;
30.10.2023;5 652;0,00108;
06.11.2023;5 998;0,00111;
13.11.2023;7 205;0,00131;
20.11.2023;8 760;0,00160;
27.11.2023;11 361;0,00202;
04.12.2023;13 337;0,00239;
11.12.2023;13 933;0,00255;
18.12.2023;11 638;0,00212;
25.12.2023;8 146;0,00167;
01.01.2024;3 929;0,00084;
08.01.2024;5 078;0,00091;
15.01.2024;5 185;0,00088;
22.01.2024;4 856;0,00082;
29.01.2024;5 427;0,00095;
05.02.2024;5 691;0,00105;
12.02.2024;5 460;0,00102;
19.02.2024;5 383;0,00107;
26.02.2024;5 148;0,00086;
04.03.2024;4 420;0,00078;
11.03.2024;4 131;0,00079;
18.03.2024;4 008;0,00076;
25.03.2024;3 566;0,00069;
01.04.2024;3 331;0,00064;
08.04.2024;2 914;0,00058;
15.04.2024;2 767;0,00052;
22.04.2024;2 964;0,00056;
29.04.2024;2 518;0,00056;
06.05.2024;2 590;0,00052;
13.05.2024;3 071;0,00060;
20.05.2024;3 358;0,00069;
27.05.2024;3 190;0,00068;
03.06.2024;2 242;0,00048;
10.06.2024;1 842;0,00040;
17.06.2024;1 920;0,00042;
24.06.2024;1 790;0,00042;
01.07.2024;1 597;0,00038;
08.07.2024;1 584;0,00038;
15.07.2024;1 949;0,00047;
22.07.2024;1 856;0,00045;
29.07.2024;2 334;0,00055;
05.08.2024;3 165;0,00075;
12.08.2024;4 116;0,00100;
19.08.2024;5 182;0,00123;
26.08.2024;5 545;0,00128;
02.09.2024;5 152;0,00120;
09.09.2024;6 583;0,00141;
16.09.2024;6 787;0,00142;
23.09.2024;6 309;0,00128;
30.09.2024;4 904;0,00097;
07.10.2024;3 832;0,00075;
14.10.2024;3 564;0,00075;
21.10.2024;3 984;0,00076;
28.10.2024;3 594;0,00069;
04.11.2024;3 367;0,00062;
11.11.2024;3 807;0,00067;
18.11.2024;3 748;0,00071;
25.11.2024;3 941;0,00067;
02.12.2024;3 707;0,00067;
09.12.2024;3 857;0,00070;
16.12.2024;3 901;0,00068;
23.12.2024;3 713;0,00068;
30.12.2024;2 201;0,00053;
06.01.2025;2 587;0,00052;
13.01.2025;2 726;0,00048;
20.01.2025;2 603;0,00045;
27.01.2025;2 925;0,00050;
03.02.2025;3 128;0,00054;
10.02.2025;3 477;0,00061;
17.02.2025;3 729;0,00068;
24.02.2025;3 533;0,00064;
03.03.2025;3 892;0,00072;
10.03.2025;3 752;0,00067;
17.03.2025;4 198;0,00075;
24.03.2025;2 884;0,00052;
31.03.2025;2 347;0,00043;
