Неделя с;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «чем лечить ковид», по неделям, 28.02.2022 — 06.04.2025, Москва и область, все устройства
28.02.2022;701;0,000112;
07.03.2022;584;0,000096;
14.03.2022;536;0,000085;
21.03.2022;539;0,000085;
28.03.2022;565;0,000087;
04.04.2022;484;0,000079;
11.04.2022;408;0,000067;
18.04.2022;430;0,000070;
25.04.2022;391;0,000067;
02.05.2022;351;0,000066;
09.05.2022;355;0,000056;
16.05.2022;268;0,000043;
23.05.2022;269;0,000041;
30.05.2022;266;0,000045;
06.06.2022;223;0,000041;
13.06.2022;209;0,000037;
20.06.2022;225;0,000040;
27.06.2022;218;0,000040;
04.07.2022;283;0,000054;
11.07.2022;307;0,000059;
18.07.2022;514;0,000102;
25.07.2022;821;0,000166;
01.08.2022;1 155;0,000224;
08.08.2022;1 508;0,000276;
15.08.2022;1 821;0,000336;
22.08.2022;1 691;0,000323;
29.08.2022;1 364;0,000234;
05.09.2022;1 409;0,000221;
12.09.2022;1 461;0,000241;
19.09.2022;1 152;0,000185;
26.09.2022;787;0,000133;
03.10.2022;577;0,000099;
10.10.2022;454;0,000080;
17.10.2022;454;0,000073;
24.10.2022;361;0,000059;
31.10.2022;422;0,000071;
07.11.2022;465;0,000077;
14.11.2022;461;0,000074;
21.11.2022;515;0,000083;
28.11.2022;538;0,000087;
05.12.2022;505;0,000082;
12.12.2022;422;0,000070;
19.12.2022;367;0,000061;
26.12.2022;284;0,000057;
02.01.2023;274;0,000057;
09.01.2023;349;0,000061;
16.01.2023;344;0,000058;
23.01.2023;380;0,000064;
30.01.2023;385;0,000065;
06.02.2023;473;0,000080;
13.02.2023;620;0,000107;
20.02.2023;468;0,000087;
27.02.2023;422;0,000072;
06.03.2023;386;0,000069;
13.03.2023;395;0,000067;
20.03.2023;366;0,000063;
27.03.2023;356;0,000063;
03.04.2023;308;0,000057;
10.04.2023;274;0,000052;
17.04.2023;293;0,000054;
24.04.2023;244;0,000045;
01.05.2023;193;0,000038;
08.05.2023;202;0,000041;
15.05.2023;177;0,000033;
22.05.2023;177;0,000034;
29.05.2023;136;0,000026;
05.06.2023;115;0,000023;
12.06.2023;117;0,000025;
19.06.2023;115;0,000024;
26.06.2023;113;0,000024;
03.07.2023;86;0,000019;
10.07.2023;97;0,000021;
17.07.2023;119;0,000026;
24.07.2023;101;0,000021;
31.07.2023;83;0,000019;
07.08.2023;92;0,000020;
14.08.2023;133;0,000029;
21.08.2023;112;0,000024;
28.08.2023;175;0,000038;
04.09.2023;224;0,000046;
11.09.2023;242;0,000047;
18.09.2023;530;0,000101;
25.09.2023;436;0,000081;
02.10.2023;336;0,000061;
09.10.2023;299;0,000054;
16.10.2023;278;0,000050;
23.10.2023;307;0,000056;
30.10.2023;373;0,000071;
06.11.2023;461;0,000085;
13.11.2023;501;0,000091;
20.11.2023;573;0,000105;
27.11.2023;766;0,000136;
04.12.2023;873;0,000156;
11.12.2023;940;0,000172;
18.12.2023;850;0,000155;
25.12.2023;560;0,000114;
01.01.2024;391;0,000084;
08.01.2024;307;0,000055;
15.01.2024;312;0,000053;
22.01.2024;349;0,000059;
29.01.2024;388;0,000068;
05.02.2024;325;0,000059;
12.02.2024;312;0,000058;
19.02.2024;300;0,000059;
26.02.2024;292;0,000049;
04.03.2024;277;0,000048;
11.03.2024;300;0,000057;
18.03.2024;224;0,000042;
25.03.2024;185;0,000036;
01.04.2024;183;0,000035;
08.04.2024;192;0,000038;
15.04.2024;128;0,000024;
22.04.2024;159;0,000030;
29.04.2024;101;0,000022;
06.05.2024;119;0,000024;
13.05.2024;115;0,000022;
20.05.2024;211;0,000043;
27.05.2024;179;0,000038;
03.06.2024;165;0,000035;
10.06.2024;146;0,000032;
17.06.2024;105;0,000023;
24.06.2024;114;0,000026;
01.07.2024;108;0,000025;
08.07.2024;97;0,000023;
15.07.2024;132;0,000032;
22.07.2024;142;0,000034;
29.07.2024;158;0,000037;
05.08.2024;263;0,000062;
12.08.2024;266;0,000064;
19.08.2024;417;0,000098;
26.08.2024;512;0,000118;
02.09.2024;462;0,000107;
09.09.2024;524;0,000112;
16.09.2024;623;0,000130;
23.09.2024;605;0,000123;
30.09.2024;445;0,000088;
07.10.2024;345;0,000067;
14.10.2024;250;0,000052;
21.10.2024;287;0,000055;
28.10.2024;271;0,000052;
04.11.2024;238;0,000043;
11.11.2024;274;0,000048;
18.11.2024;232;0,000044;
25.11.2024;227;0,000039;
02.12.2024;277;0,000050;
09.12.2024;287;0,000052;
16.12.2024;297;0,000052;
23.12.2024;321;0,000059;
30.12.2024;237;0,000057;
06.01.2025;141;0,000028;
13.01.2025;136;0,000024;
20.01.2025;159;0,000027;
27.01.2025;145;0,000025;
03.02.2025;146;0,000025;
10.02.2025;165;0,000029;
17.02.2025;184;0,000033;
24.02.2025;185;0,000033;
03.03.2025;217;0,000040;
10.03.2025;228;0,000040;
17.03.2025;207;0,000037;
24.03.2025;190;0,000034;
31.03.2025;127;0,000023;
