Неделя с;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «экспресс тест ковид», по неделям, 28.02.2022 — 06.04.2025, Москва и область, все устройства
28.02.2022;7 774;0,00125;
07.03.2022;4 997;0,00082;
14.03.2022;4 270;0,00067;
21.03.2022;4 004;0,00063;
28.03.2022;4 770;0,00074;
04.04.2022;4 672;0,00076;
11.04.2022;4 614;0,00076;
18.04.2022;3 930;0,00064;
25.04.2022;3 412;0,00059;
02.05.2022;2 999;0,00056;
09.05.2022;3 339;0,00052;
16.05.2022;3 108;0,00050;
23.05.2022;3 224;0,00049;
30.05.2022;2 869;0,00049;
06.06.2022;2 732;0,00051;
13.06.2022;2 493;0,00045;
20.06.2022;2 490;0,00045;
27.06.2022;2 578;0,00047;
04.07.2022;2 986;0,00057;
11.07.2022;4 527;0,00087;
18.07.2022;7 183;0,00143;
25.07.2022;11 440;0,00232;
01.08.2022;17 871;0,00347;
08.08.2022;22 273;0,00408;
15.08.2022;24 172;0,00446;
22.08.2022;21 665;0,00414;
29.08.2022;16 925;0,00291;
05.09.2022;14 735;0,00231;
12.09.2022;15 608;0,00257;
19.09.2022;10 949;0,00176;
26.09.2022;6 951;0,00118;
03.10.2022;5 034;0,00086;
10.10.2022;3 942;0,00069;
17.10.2022;3 611;0,00058;
24.10.2022;3 087;0,00051;
31.10.2022;3 353;0,00056;
07.11.2022;3 639;0,00060;
14.11.2022;4 059;0,00065;
21.11.2022;4 780;0,00077;
28.11.2022;5 215;0,00085;
05.12.2022;4 271;0,00069;
12.12.2022;3 479;0,00057;
19.12.2022;2 922;0,00049;
26.12.2022;2 256;0,00045;
02.01.2023;1 868;0,00039;
09.01.2023;2 537;0,00044;
16.01.2023;2 590;0,00044;
23.01.2023;2 907;0,00049;
30.01.2023;3 249;0,00055;
06.02.2023;3 713;0,00063;
13.02.2023;4 050;0,00069;
20.02.2023;3 256;0,00060;
27.02.2023;3 369;0,00058;
06.03.2023;2 886;0,00051;
13.03.2023;2 886;0,00049;
20.03.2023;2 867;0,00049;
27.03.2023;2 543;0,00045;
03.04.2023;2 472;0,00045;
10.04.2023;2 393;0,00045;
17.04.2023;2 247;0,00042;
24.04.2023;1 889;0,00035;
01.05.2023;1 620;0,00032;
08.05.2023;1 416;0,00028;
15.05.2023;1 451;0,00027;
22.05.2023;1 506;0,00029;
29.05.2023;1 546;0,00030;
05.06.2023;1 339;0,00027;
12.06.2023;1 232;0,00026;
19.06.2023;1 100;0,00023;
26.06.2023;985;0,00021;
03.07.2023;863;0,00019;
10.07.2023;902;0,00019;
17.07.2023;792;0,00017;
24.07.2023;810;0,00017;
31.07.2023;879;0,00020;
07.08.2023;781;0,00017;
14.08.2023;751;0,00016;
21.08.2023;860;0,00019;
28.08.2023;985;0,00021;
04.09.2023;1 259;0,00025;
11.09.2023;1 705;0,00033;
18.09.2023;2 811;0,00053;
25.09.2023;2 464;0,00046;
02.10.2023;1 695;0,00031;
09.10.2023;1 607;0,00029;
16.10.2023;1 323;0,00023;
23.10.2023;1 470;0,00026;
30.10.2023;1 730;0,00033;
06.11.2023;1 756;0,00032;
13.11.2023;2 287;0,00041;
20.11.2023;2 745;0,00050;
27.11.2023;3 484;0,00062;
04.12.2023;3 804;0,00068;
11.12.2023;4 280;0,00078;
18.12.2023;3 488;0,00063;
25.12.2023;2 508;0,00051;
01.01.2024;1 060;0,00022;
08.01.2024;1 579;0,00028;
15.01.2024;1 613;0,00027;
22.01.2024;1 565;0,00026;
29.01.2024;1 582;0,00027;
05.02.2024;1 710;0,00031;
12.02.2024;1 611;0,00030;
19.02.2024;1 522;0,00030;
26.02.2024;1 532;0,00025;
04.03.2024;1 367;0,00024;
11.03.2024;1 116;0,00021;
18.03.2024;1 122;0,00021;
25.03.2024;1 064;0,00020;
01.04.2024;891;0,00017;
08.04.2024;826;0,00016;
15.04.2024;787;0,00014;
22.04.2024;884;0,00016;
29.04.2024;681;0,00015;
06.05.2024;607;0,00012;
13.05.2024;756;0,00014;
20.05.2024;838;0,00017;
27.05.2024;833;0,00017;
03.06.2024;610;0,00013;
10.06.2024;513;0,00011;
17.06.2024;529;0,00011;
24.06.2024;560;0,00013;
01.07.2024;442;0,00010;
08.07.2024;502;0,00012;
15.07.2024;605;0,00014;
22.07.2024;497;0,00012;
29.07.2024;632;0,00015;
05.08.2024;965;0,00023;
12.08.2024;1 166;0,00028;
19.08.2024;1 371;0,00032;
26.08.2024;1 581;0,00036;
02.09.2024;1 467;0,00034;
09.09.2024;1 803;0,00038;
16.09.2024;1 855;0,00038;
23.09.2024;1 723;0,00035;
30.09.2024;1 259;0,00025;
07.10.2024;1 046;0,00020;
14.10.2024;1 078;0,00022;
21.10.2024;1 175;0,00022;
28.10.2024;1 006;0,00019;
04.11.2024;1 054;0,00019;
11.11.2024;1 069;0,00019;
18.11.2024;1 072;0,00020;
25.11.2024;1 062;0,00018;
02.12.2024;1 067;0,00019;
09.12.2024;1 045;0,00018;
16.12.2024;1 090;0,00019;
23.12.2024;1 108;0,00020;
30.12.2024;581;0,00014;
06.01.2025;802;0,00016;
13.01.2025;833;0,00014;
20.01.2025;719;0,00012;
27.01.2025;863;0,00015;
03.02.2025;947;0,00016;
10.02.2025;998;0,00017;
17.02.2025;1 148;0,00021;
24.02.2025;1 071;0,00019;
03.03.2025;1 169;0,00021;
10.03.2025;1 105;0,00019;
17.03.2025;985;0,00017;
24.03.2025;773;0,00014;
31.03.2025;641;0,00011;
