horizon_weeks,advanced_model_name,feature_rank,feature_name
1,advanced_ratio_catboost,1.0,cases
1,advanced_ratio_catboost,2.0,cases_growth_1w
1,advanced_ratio_catboost,3.0,cases_growth_2w
1,advanced_ratio_catboost,4.0,cases_lag_1
1,advanced_ratio_catboost,5.0,cases_lag_2
1,advanced_ratio_catboost,6.0,cases_lag_3
1,advanced_ratio_catboost,7.0,cases_log1p
1,advanced_ratio_catboost,8.0,cases_roll_mean_2
1,advanced_ratio_catboost,9.0,cases_roll_mean_4
1,advanced_ratio_catboost,10.0,weekofyear_cos
1,advanced_ratio_catboost,11.0,weekofyear_sin
1,advanced_ratio_catboost,12.0,ws_пропало_обоняние_growth_1w_lagbest_h1
1,advanced_ratio_catboost,13.0,ws_пропало_обоняние_growth_1w_lagbest_h2
1,advanced_ratio_catboost,14.0,ws_пропало_обоняние_growth_1w_lagbest_h3
1,advanced_ratio_catboost,15.0,ws_пропало_обоняние_growth_2w_lagbest_h1
1,advanced_ratio_catboost,16.0,ws_пропало_обоняние_growth_2w_lagbest_h2
1,advanced_ratio_catboost,17.0,ws_пропало_обоняние_growth_2w_lagbest_h3
1,advanced_ratio_catboost,18.0,ws_total_spike_ratio_zscore_8
1,advanced_ratio_catboost,19.0,ws_total_spike_flags_shock_ratio
1,advanced_ratio_catboost,20.0,ws_total_spike_flags_zscore_8
1,advanced_ratio_catboost,21.0,ws_пропало_обоняние_diff_1w
1,advanced_ratio_catboost,22.0,ws_total_spike_flags_shock_ratio_lagbest_h3
1,advanced_ratio_catboost,23.0,ws_тест_на_ковид_growth_1w
1,advanced_ratio_catboost,24.0,ws_кт_легких_growth_1w
1,advanced_ratio_catboost,25.0,ws_экспресс_тест_ковид_growth_1w
1,advanced_ratio_catboost,26.0,ws_сатурация_growth_1w
1,advanced_ratio_catboost,27.0,ws_боль_в_горле_growth_1w
1,advanced_ratio_catboost,28.0,ws_group_total_growth_1w
1,advanced_ratio_catboost,29.0,ws_total_denoised_growth_1w
1,advanced_ratio_catboost,30.0,ws_total_raw_growth_1w
1,advanced_ratio_catboost,31.0,ws_total_spike_flags_shock_ratio_lagbest_h2
1,advanced_ratio_catboost,32.0,ws_total_spike_ratio_growth_1w
