feature,importance
active_delta,11.534697998658723
cases,10.49429003462261
cases_log1p,6.860333982655884
cases_roll_mean_2,6.5095803309483555
cases_growth_4w,4.570548548927534
deaths,4.181818123902613
cases_lag_1,3.7595503616557795
deaths_lag_1,3.5357144227353756
cases_growth_1w,2.6969925230756955
cases_ratio_4w,2.6370647437283865
recovered,2.0702540160428073
weekofyear,2.0585295656559834
time_idx,1.993462967134219
cases_ratio_2w,1.8799480596651639
cases_log1p_lag_1,1.368204169464039
cases_log1p_lag_2,1.3570614756424515
cases_ratio_1w,1.335259434512028
ws_group_general_symptoms,1.3151363190603549
ws_пневмония_denoised_lagbest,1.2656510016424327
ws_share_пневмония_lagbest,1.2195821578469703
active_delta_lag_1,1.199973234515415
year,1.172457463166576
month_sin,1.12383981898143
temp_mean_roll_mean_4,0.9214683991398532
recovered_lag_1,0.8856535412125447
cases_growth_2w,0.8772618373430346
ws_share_боль_в_горле_lagbest,0.8305842072749785
weekofyear_sin,0.7628687588314932
ws_total_spike_ratio,0.7233646575510666
humidity_mean_lag_1,0.7160200041405685
cases_lag_12,0.706796202829065
temp_mean_roll_mean_8,0.6988970934846221
ws_group_complications_treatment,0.673126850634324
ws_group_testing,0.6700252335542447
active_now,0.6461353277725016
ws_group_specific_symptoms,0.6122019104551171
cases_roll_std_4,0.6032391598235657
active_now_lag_1,0.5936055645846708
ws_group_total,0.586786819266355
cases_peak_distance_4w,0.5671963607048853
ws_боль_в_горле_denoised_lagbest,0.5588184376851661
temp_mean_lag_1,0.5477979604568233
ws_total_raw,0.5288120899502619
ws_потеря_вкуса_denoised_lagbest,0.4951407881022186
ws_total_denoised,0.49079286953257395
cases_roll_mean_4,0.4847304107895561
weekofyear_cos,0.47617145807336453
ws_total_denoised_roll_mean_8,0.4725906084588322
ws_share_ломота_lagbest,0.42690861959187154
ws_share_сатурация_lagbest,0.42043679075558277
quarter,0.39100282784997076
cases_roll_std_8,0.38641159563531396
cases_log1p_lag_3,0.37022722845020767
ws_share_кт_легких_lagbest,0.3532778947608713
temp_max,0.34835223270373433
temp_min,0.3214384908351961
ws_group_disease,0.3191221018113896
humidity_mean,0.31640537150948206
ws_share_потеря_вкуса_lagbest,0.2929785530400612
ws_кт_легких_denoised_lagbest,0.28887359944301255
ws_share_одышка_lagbest,0.2846546569712535
precip_sum_roll_mean_4,0.28097406613735354
ws_сатурация_denoised_lagbest,0.24980651222679356
month,0.24953210872412915
temp_mean,0.24312484608991788
ws_share_нет_запахов_lagbest,0.20699742144357738
precip_sum_lag_1,0.20448408225263126
ws_нет_запахов_denoised_lagbest,0.20158675922934674
cases_lag_2,0.19323951788580787
ws_total_denoised_roll_mean_4,0.19094911963161287
cases_lag_4,0.17765154995514687
cases_lag_8,0.16881991844900562
temp_range,0.1474396177601924
restriction_level,0.1431132964068964
ws_ломота_denoised_lagbest,0.1360350040780905
month_cos,0.08083359881246507
pressure_mean,0.0633239881877654
precip_sum,0.05540682749277356
cases_roll_mean_8,0.05137143863695589
wind_speed_mean,0.04585631279049582
ws_одышка_denoised_lagbest,0.03902415242601186
cases_acceleration_1w,0.038777641713203574
cases_lag_3,0.01913537010004295
school_break_days,0.017087351044409015
nonworking_days_total,0.0047582836396018735
is_school_start_week,0.0004458928989989872
holiday_days,8.422065853965529e-05
ws_total_spike_flags,1.3832077776725795e-05
mask_mandate,0.0
weekend_days,0.0
is_school_break_week,0.0
is_new_year_period,0.0
is_may_holiday_period,0.0
is_holiday_week,0.0
remote_work,0.0
short_work_days,0.0
