horizon_weeks,feature,best_lag_weeks,best_corr_abs
1,ws_share_одышка,2,0.49046232806599116
1,ws_одышка_roll_mean_4,2,0.4744787029876181
1,ws_одышка_roll_mean_8,1,0.47187646272210415
1,ws_одышка,3,0.4697139524472755
1,ws_одышка_lag_1,2,0.4697139524472755
1,ws_одышка_lag_2,1,0.4697139524472755
1,ws_share_нет_запахов,4,0.46074220622971757
1,ws_нет_запахов_roll_mean_8,1,0.4550981880268638
1,ws_нет_запахов_roll_mean_4,3,0.45296625028516757
1,ws_нет_запахов,4,0.44680773929725776
1,ws_нет_запахов_lag_1,3,0.44680773929725776
1,ws_нет_запахов_lag_2,2,0.44680773929725776
1,ws_положительный_тест_ковид_zscore_8,4,0.44169429819363754
1,ws_чем_лечить_ковид_zscore_8,2,0.4372455484472988
1,ws_экспресс_тест_ковид_zscore_8,2,0.4355039520843454
1,ws_share_кт_легких,5,0.4311466122783086
1,ws_кт_легких_roll_mean_8,2,0.42906573233801154
1,ws_тест_на_ковид_zscore_8,2,0.4257861498712362
1,ws_кт_легких_roll_mean_4,4,0.4239852414945664
1,ws_кт_легких,5,0.41587494379092893
1,ws_кт_легких_lag_1,4,0.41587494379092893
1,ws_кт_легких_lag_2,3,0.41587494379092893
1,ws_share_боль_в_горле,5,0.41478253132745124
1,ws_ковид_zscore_8,2,0.41277786960808815
1,ws_share_сатурация,8,0.4076411886018243
1,ws_боль_в_горле_roll_mean_8,2,0.4061138607526488
1,ws_сатурация_roll_mean_8,3,0.4045394530165462
1,ws_group_specific_symptoms_roll_mean_8,3,0.4038982653300193
1,ws_боль_в_горле_roll_mean_4,3,0.4038230863753015
1,ws_боль_в_горле,5,0.4004859479651773
1,ws_боль_в_горле_lag_1,4,0.4004859479651773
1,ws_боль_в_горле_lag_2,3,0.4004859479651773
1,ws_group_specific_symptoms_roll_mean_4,5,0.39818407098152936
1,ws_сатурация_roll_mean_4,5,0.3975472267727166
1,ws_share_ломота,8,0.396091407209528
1,ws_group_specific_symptoms,7,0.3900027476387295
1,ws_group_specific_symptoms_lag_1,6,0.3900027476387295
1,ws_group_specific_symptoms_lag_2,5,0.3900027476387295
1,ws_group_complications_treatment_roll_mean_8,1,0.3883726763847086
1,ws_group_disease_zscore_8,2,0.38812677942818136
1,ws_сатурация,8,0.3876475048116064
1,ws_сатурация_lag_1,7,0.3876475048116064
1,ws_сатурация_lag_2,6,0.3876475048116064
1,ws_ломота_roll_mean_8,3,0.3876002144376944
1,ws_share_потеря_вкуса,8,0.3852444298966472
1,ws_ломота_roll_mean_4,7,0.3822087597266804
1,ws_потеря_вкуса_roll_mean_8,3,0.38060027391891654
1,ws_group_complications_treatment_roll_mean_4,3,0.38010503521459765
1,ws_потеря_вкуса_roll_mean_4,5,0.37717891957680494
1,ws_пневмония_roll_mean_8,1,0.3771764263752714
1,ws_ломота,8,0.37705876033708297
1,ws_ломота_lag_1,7,0.37705876033708297
1,ws_ломота_lag_2,6,0.37705876033708297
1,ws_group_general_symptoms_roll_mean_8,1,0.3769065861777151
1,ws_group_testing_zscore_8,1,0.3764099838410138
1,ws_group_general_symptoms_roll_mean_4,3,0.37365174247785593
1,ws_share_сухой_кашель,3,0.37184636564531287
1,ws_потеря_вкуса,6,0.37042413116165984
1,ws_потеря_вкуса_lag_1,5,0.37042413116165984
1,ws_потеря_вкуса_lag_2,4,0.37042413116165984
1,ws_group_complications_treatment,4,0.3697229841540976
1,ws_group_complications_treatment_lag_1,3,0.3697229841540976
1,ws_group_complications_treatment_lag_2,2,0.3697229841540976
1,ws_group_general_symptoms,4,0.36890430668657337
1,ws_group_general_symptoms_lag_1,3,0.36890430668657337
1,ws_group_general_symptoms_lag_2,2,0.36890430668657337
1,ws_пневмония_roll_mean_4,2,0.3684123353779935
1,ws_коронавирус_zscore_8,2,0.3683381636398297
1,ws_share_пневмония,4,0.3664084217030888
1,ws_сухой_кашель_roll_mean_8,1,0.35905880184689126
1,ws_сухой_кашель_roll_mean_4,2,0.3577101935045125
1,ws_пневмония,4,0.3577023084932541
1,ws_пневмония_lag_1,3,0.3577023084932541
1,ws_пневмония_lag_2,2,0.3577023084932541
1,ws_сухой_кашель,3,0.3534999058908616
1,ws_сухой_кашель_lag_1,2,0.3534999058908616
1,ws_сухой_кашель_lag_2,1,0.3534999058908616
1,ws_total_denoised_zscore_8,2,0.35250038017318464
1,ws_total_raw_zscore_8,2,0.35250038017318464
1,ws_group_total_zscore_8,2,0.35250038017317964
1,ws_пцр_тест_zscore_8,1,0.349777935417533
1,ws_симптомы_ковида_zscore_8,3,0.3486144330853524
